check_id,check,observed,status
RT01,result_JSON_hash_sidecar,C84C_ENGINEERING_CANARY_RESULT_json_replays,PASS
RT02,complete_manifest_hash,530471ef370d5fa13a88e7e53cf1add558b8444b66675496187aa192b0606f2b,PASS
RT03,authorization_record_hash,4bcc55dc09603477439cbe862848e6c1f6dc0d1748746585a0d3e340d0b3a96b,PASS
RT04,authorization_consumption_hash,93d140e69a98e1de0164a0838c7c86d9a4a2d28fdf91a5703648f632cf5aa1e1,PASS
RT05,repair_protocol_hash,cdbdb9a25dc29b6a37ac9eb65f130f44efa120042dfb7ddb140cf3db103ec196,PASS
RT06,canary_protocol_V4_hash,cc54b5e6f92e4b0d338bf297c92823b4d60a8628a55dcff547ef9d808ee43afb,PASS
RT07,execution_lock_V3_hash,c198607fb9e46ea2353ffa57d6b71bfa966c36e8ece53fdc40292681bba8bd1a,PASS
RT08,runtime_bound_object_replay,72_of_72,PASS
RT09,protocol_binding_replay,7_of_7,PASS
RT10,candidate_unit_digest,4ada05be758975e7c28429819d804b4064a1bdcfd99fe7a4752a3bdbded6d396,PASS
RT11,montage_digest,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,PASS
RT12,Slurm_job_state,895441_COMPLETED,PASS
RT13,Slurm_exit_code,0:0,PASS
RT14,Slurm_restart_count,0,PASS
RT15,complete_candidate_units,243_of_243,PASS
RT16,training_phases,9_of_9,PASS
RT17,checkpoint_state_replay,243_of_243,PASS
RT18,optimizer_state_replay,243_of_243,PASS
RT19,sidecar_schema_replay,243_of_243,PASS
RT20,strict_source_artifact_replay,243_of_243,PASS
RT21,target_unlabeled_artifact_replay,243_of_243,PASS
RT22,per_dataset_unit_count,81_each,PASS
RT23,ERM_anchor_count,3,PASS
RT24,OACI_checkpoint_count,120,PASS
RT25,SRC_checkpoint_count,120,PASS
RT26,actual_channel_order,20_exact_channels_all_9_views,PASS
RT27,actual_sampling_rate,160_Hz_all_9_views,PASS
RT28,actual_epoch_shape,20x480_all_9_views,PASS
RT29,interpolation_or_synthesis,0,PASS
RT30,loaded_subject_identity,locked_12_train_4_audit_1_target_each_dataset,PASS
RT31,source_audit_target_subject_disjointness,all_sets_disjoint,PASS
RT32,target_y_accesses,0,PASS
RT33,target_label_fields,0,PASS
RT34,training_target_rows_and_labels,0,PASS
RT35,source_audit_rows_used_in_training,0,PASS
RT36,target_scientific_metrics,0,PASS
RT37,target_outcome_retention_and_retry,0,PASS
RT38,construction_or_evaluation_view_access,0,PASS
RT39,same_label_oracle_access,0,PASS
RT40,maximum_linear_replay_error,6.67572021484375e-6_below_1e-5,PASS
RT41,strict_softmax_repeat_logits_repeat_z_errors,all_0_below_1e-6,PASS
RT42,deterministic_prefix_fingerprints,3_of_3_repeat_pairs,PASS
RT43,historical_failed_job_preserved,895366,PASS
RT44,historical_authorization_or_artifact_reuse,0,PASS
RT45,execution_stderr_classification,102_HTTPS_17_edge_notice_0_traceback,PASS
RT46,focused_regression,112_passed,PASS
RT47,C65_regression,598_passed_1_skip_3_deselected,PASS
RT48,C23_regression,1009_passed_1_skip_3_deselected,PASS
RT49,full_regression,1933_passed_1_skip_3_deselected,PASS
RT50,regression_stderr,all_4_empty,PASS
RT51,active_C84_jobs,0,PASS
RT52,C84F_or_C84S_execution_locks,0,PASS
RT53,C84F_or_C84S_authorization,false_false,PASS
RT54,tracked_weight_cache_EEG_extensions,0,PASS
RT55,largest_tracked_Git_payload,21936073_bytes_below_50_MiB,PASS
RT56,claim_boundary,engineering_only_no_scientific_or_external_validity_result,PASS
