stage,target_id,seed,level,checkpoint_units,construct_rows,eval_rows,mean_construct_bacc,mean_eval_bacc,min_eval_bacc,max_eval_bacc,diagnostic_only
t1,1,0,0,2,560,592,0.452608,0.447136,0.445822,0.44845,1
t1,1,0,1,2,560,592,0.463768,0.459182,0.391687,0.526677,1
t1,1,1,0,1,280,296,0.478398,0.465576,0.465576,0.465576,1
t1,1,1,1,1,280,296,0.447185,0.451791,0.451791,0.451791,1
t1,1,2,0,1,280,296,0.489319,0.50409,0.50409,0.50409,1
t1,1,2,1,1,280,296,0.469078,0.457779,0.457779,0.457779,1
t1,2,0,0,2,566,586,0.280825,0.309545,0.303604,0.315487,1
t1,2,0,1,2,566,586,0.251291,0.301015,0.288918,0.313113,1
t1,2,1,0,1,283,293,0.279271,0.31926,0.31926,0.31926,1
t1,2,1,1,1,283,293,0.26672,0.271397,0.271397,0.271397,1
t1,2,2,0,1,283,293,0.259772,0.299696,0.299696,0.299696,1
t1,2,2,1,1,283,293,0.301918,0.287015,0.287015,0.287015,1
t1,3,0,0,2,542,610,0.528973,0.580232,0.545221,0.615242,1
t1,3,0,1,2,542,610,0.553117,0.574869,0.549442,0.600297,1
t1,3,1,0,1,271,305,0.466757,0.515897,0.515897,0.515897,1
t1,3,1,1,1,271,305,0.552638,0.567634,0.567634,0.567634,1
t1,3,2,0,1,271,305,0.578448,0.581138,0.581138,0.581138,1
t1,3,2,1,1,271,305,0.566293,0.627483,0.627483,0.627483,1
t1,4,0,0,2,522,630,0.290505,0.330054,0.311808,0.348301,1
t1,4,0,1,2,522,630,0.284364,0.326082,0.325623,0.32654,1
t1,4,1,0,1,261,315,0.259694,0.295461,0.295461,0.295461,1
t1,4,1,1,1,261,315,0.264798,0.295046,0.295046,0.295046,1
t1,4,2,0,1,261,315,0.269568,0.30288,0.30288,0.30288,1
t1,4,2,1,1,261,315,0.385069,0.394291,0.394291,0.394291,1
t1,5,0,0,2,560,592,0.261206,0.255419,0.249223,0.261615,1
t1,5,0,1,2,560,592,0.26479,0.256239,0.246269,0.266208,1
t1,5,1,0,1,280,296,0.252778,0.247574,0.247574,0.247574,1
t1,5,1,1,1,280,296,0.281133,0.261848,0.261848,0.261848,1
t1,5,2,0,1,280,296,0.256503,0.261557,0.261557,0.261557,1
t1,5,2,1,1,280,296,0.252255,0.254353,0.254353,0.254353,1
t1,6,0,0,1,291,285,0.256556,0.290554,0.290554,0.290554,1
t1,6,0,1,1,291,285,0.28119,0.304333,0.304333,0.304333,1
t1,6,1,0,1,291,285,0.293322,0.305731,0.305731,0.305731,1
t1,6,1,1,1,291,285,0.286289,0.312391,0.312391,0.312391,1
t1,6,2,0,1,291,285,0.244813,0.260202,0.260202,0.260202,1
t1,6,2,1,1,291,285,0.284832,0.330572,0.330572,0.330572,1
t1,7,0,0,1,264,312,0.32342,0.308803,0.308803,0.308803,1
t1,7,0,1,1,264,312,0.343735,0.292274,0.292274,0.292274,1
t1,7,1,0,1,264,312,0.300469,0.257638,0.257638,0.257638,1
t1,7,1,1,1,264,312,0.29382,0.277244,0.277244,0.277244,1
t1,7,2,0,1,264,312,0.282607,0.265237,0.265237,0.265237,1
t1,7,2,1,1,264,312,0.284592,0.341557,0.341557,0.341557,1
t1,8,0,0,1,282,294,0.522773,0.485016,0.485016,0.485016,1
t1,8,0,1,1,282,294,0.496227,0.496977,0.496977,0.496977,1
t1,8,1,0,1,282,294,0.493679,0.406583,0.406583,0.406583,1
t1,8,1,1,1,282,294,0.486438,0.493892,0.493892,0.493892,1
t1,8,2,0,1,282,294,0.47338,0.513975,0.513975,0.513975,1
t1,8,2,1,1,282,294,0.494106,0.524309,0.524309,0.524309,1
t1,9,0,0,1,284,292,0.464286,0.514223,0.514223,0.514223,1
t1,9,0,1,1,284,292,0.445459,0.41156,0.41156,0.41156,1
t1,9,1,0,1,284,292,0.52985,0.488518,0.488518,0.488518,1
t1,9,1,1,1,284,292,0.499868,0.458172,0.458172,0.458172,1
t1,9,2,0,1,284,292,0.466182,0.428005,0.428005,0.428005,1
t1,9,2,1,1,284,292,0.507275,0.506787,0.506787,0.506787,1
t2,1,0,0,4,1120,1184,0.438706,0.440242,0.420466,0.44845,1
t2,1,0,1,4,1120,1184,0.436725,0.431791,0.386028,0.526677,1
t2,1,1,0,4,1120,1184,0.435253,0.442399,0.408166,0.465576,1
t2,1,1,1,4,1120,1184,0.437369,0.452946,0.401018,0.49672,1
t2,1,2,0,4,1120,1184,0.461304,0.459993,0.415471,0.504218,1
t2,1,2,1,4,1120,1184,0.460913,0.430897,0.401454,0.457779,1
t2,2,0,0,4,1132,1172,0.269634,0.304319,0.298972,0.315487,1
t2,2,0,1,4,1132,1172,0.261485,0.299652,0.288918,0.313113,1
t2,2,1,0,4,1132,1172,0.285443,0.311813,0.30212,0.31926,1
t2,2,1,1,4,1132,1172,0.256998,0.278183,0.254899,0.294935,1
t2,2,2,0,4,1132,1172,0.258622,0.296451,0.284723,0.312941,1
t2,2,2,1,4,1132,1172,0.284444,0.301393,0.283893,0.348009,1
t2,3,0,0,4,1084,1220,0.527131,0.568003,0.52774,0.615242,1
t2,3,0,1,4,1084,1220,0.535314,0.565192,0.528154,0.600297,1
t2,3,1,0,4,1084,1220,0.543563,0.58275,0.515897,0.655989,1
t2,3,1,1,4,1084,1220,0.549763,0.569291,0.547517,0.582651,1
t2,3,2,0,4,1084,1220,0.526598,0.52307,0.459414,0.581138,1
t2,3,2,1,4,1084,1220,0.516352,0.555775,0.455404,0.627483,1
t2,4,0,0,4,1044,1260,0.292214,0.326012,0.305686,0.348301,1
t2,4,0,1,4,1044,1260,0.282062,0.329955,0.312757,0.3549,1
t2,4,1,0,4,1044,1260,0.28932,0.325925,0.295461,0.337193,1
t2,4,1,1,4,1044,1260,0.288863,0.311032,0.288677,0.33293,1
t2,4,2,0,4,1044,1260,0.310553,0.322353,0.30288,0.364931,1
t2,4,2,1,4,1044,1260,0.337298,0.378945,0.360559,0.394291,1
t2,5,0,0,4,1120,1184,0.259924,0.244289,0.231,0.261615,1
t2,5,0,1,4,1120,1184,0.266334,0.256158,0.246269,0.266208,1
t2,5,1,0,4,1120,1184,0.256724,0.256078,0.247574,0.263617,1
t2,5,1,1,4,1120,1184,0.264156,0.253462,0.237769,0.266561,1
t2,5,2,0,4,1120,1184,0.25879,0.255694,0.229529,0.28169,1
t2,5,2,1,4,1120,1184,0.259731,0.261825,0.254353,0.278118,1
t2,6,0,0,4,1164,1140,0.256212,0.289478,0.282919,0.296818,1
t2,6,0,1,4,1164,1140,0.282982,0.30547,0.285561,0.319611,1
t2,6,1,0,4,1164,1140,0.285658,0.280443,0.252897,0.305731,1
t2,6,1,1,4,1164,1140,0.289183,0.31138,0.29692,0.323633,1
t2,6,2,0,4,1164,1140,0.263298,0.281735,0.254534,0.343992,1
t2,6,2,1,4,1164,1140,0.279981,0.308429,0.29428,0.330572,1
t2,7,0,0,4,1056,1248,0.289893,0.285511,0.263587,0.308803,1
t2,7,0,1,4,1056,1248,0.297307,0.281818,0.265405,0.302351,1
t2,7,1,0,4,1056,1248,0.284313,0.280172,0.257638,0.315448,1
t2,7,1,1,4,1056,1248,0.305733,0.283043,0.265647,0.303827,1
t2,7,2,0,4,1056,1248,0.284462,0.275765,0.264003,0.291965,1
t2,7,2,1,4,1056,1248,0.281101,0.309367,0.26662,0.341557,1
t2,8,0,0,4,1128,1176,0.444617,0.422714,0.381452,0.485016,1
t2,8,0,1,4,1128,1176,0.440877,0.447667,0.410948,0.496977,1
t2,8,1,0,4,1128,1176,0.422852,0.409496,0.347046,0.446807,1
t2,8,1,1,4,1128,1176,0.474185,0.486917,0.413427,0.539911,1
