path,size_bytes,sha256,artifact_class,row_count
oaci/reports/C69_POWERED_TRIAL_CACHE_SCALEUP.json,2826,4a89d302464a10ef5f090bb6dfedf3b918d36559c90d1e091a344c32a34d955a,summary_json,
oaci/reports/C69_POWERED_TRIAL_CACHE_SCALEUP.md,2668,4881f9f3ea0743793334ee358b2d6651818f35b0e0ab4139593ace1491717c10,report,
oaci/reports/C69_RED_TEAM_VERIFICATION.md,1355,51a8be9cc7a873088e343e0102bc2210e488dcec646ac53f146241ff5e3e8a5c,report,
oaci/reports/c69_tables/c69_authorization_audit.csv,531,13a146cd24eed87b4f2248659cc125b12647d31f5cc1671f6655fed5daf5d9a2,table,6
oaci/reports/c69_tables/c69_cache_manifest_t1.csv,841,51d6a752fed9ce46b58d23b697769a89a662a098a418f52cda7a957832473e8d,table,2
oaci/reports/c69_tables/c69_cache_manifest_t2.csv,843,9ac03febe7462e4048b17d24f9068635f784a2e6f80ce7cf7494025b23abf7f0,table,2
oaci/reports/c69_tables/c69_conditional_cs_sensitivity.csv,313,53d85c0861851b373031e60ae4659e5ea9fce60234d6237eb223be6b3ce95b7a,table,4
oaci/reports/c69_tables/c69_conditional_cs_summary.csv,447,552610b282146ab145c417c863d31356cfeb7420f587a9f6726f73741cf85495,table,2
oaci/reports/c69_tables/c69_endpoint_boundary_replay.csv,314,7b5809d87a1fbde93cd8259f05572a101fe4aa46b027fd806c478223d51ed665,table,2
oaci/reports/c69_tables/c69_forbidden_claim_scan.csv,715,c5515587be90b24fe9829c00dc872ade1a406d482c50fda1724dbe4106ef8bdc,table,14
oaci/reports/c69_tables/c69_masked_view_contract.csv,1005,e86ab7b0ee67e6f37dbac59a45be0b8187f0196df339b00c46a7a0b9c8b143f0,table,10
oaci/reports/c69_tables/c69_resource_runtime_summary.csv,198,b27ec56ddad74b0c4aa626f6a06046e410e736aa4c2eb4617190856d1d5d374e,table,2
oaci/reports/c69_tables/c69_schema_signature.csv,220,65ca4be63f1d33e57f58297095a6af2a2ee21b4247703f50bf8fe35306f63316,table,2
oaci/reports/c69_tables/c69_source_adversary_summary.csv,1125,608677dcd3e4b90a6286546989338a9cc361be9981cb6e7142a4d0c9f6f28fc8,table,4
oaci/reports/c69_tables/c69_split_label_cell_ledger.csv,6367,8ac68a4d01bc2762f2abea705f6446b8b90724e379cb915dcb71b4dea48dc347,table,108
oaci/reports/c69_tables/c69_split_label_summary.csv,386,8ddf3793052cfc507c37be1b52c5d4fd4d57bd344a5a65d3fc5ed77e311fb329,table,2
oaci/reports/c69_tables/c69_stage_manifest.csv,385,c179c66909f6068934ea5252e62da6ca5d68743cb41b02ac424ec7a0f43495d3,table,3
oaci/reports/c69_tables/red_team_failure_ledger.csv,1188,e95a6ba9d2c3ac4d9ace59f71789fb62457fe0de0eaa87391558c8be1cae4099,table,16
oaci/reports/c69_tables/schema_validation_summary.csv,653,c2a44e4e56df1ccbae7443e5c1960f7cf1de2605461e9800906c064290e2208e,table,17
oaci/reports/c69_tables/test_command_manifest.csv,541,34a89c723fa1938942754a5427612e65761ab31450751fbdb8357131e7ee3ddd,table,4
