risk,status,blocking,evidence
post_C79_outcome_informed_design,CLOSED_BY_DISCLOSURE,0,protocol_epistemic_status
existing_evaluation_outcomes_already_known,CLOSED_BY_DISCLOSURE,0,retrospective_existing_field_analysis
budget_grid_hindsight,CLOSED_BY_AVAILABILITY_RULE,0,B64_removed_without_outcomes
selector_formula_drift,CLOSED_BY_HASH_LOCK,0,exact_C79_P1_formula
seed_specific_tuning,CLOSED_BY_PROTOCOL,0,one_formula_both_seeds
evaluation_informed_tie_break,CLOSED_BY_PROTOCOL,0,canonical_candidate_order
same_label_oracle_access,CLOSED_BY_ROUTE,0,oracle_unreachable
target4_primary_contamination,CLOSED_BY_MANIFEST,0,target4_excluded
construction_evaluation_overlap,CLOSED_BY_HASH_REPLAY,0,overlap_zero
trial_id_or_row_order_feature,CLOSED_BY_PROTOCOL,0,keys_only
Monte_Carlo_draws_treated_as_samples,CLOSED_BY_CLAIM_CONTRACT,0,numerical_integration_only
nested_budget_dependence_ignored,CLOSED_BY_Q0_NESTING,0,paired_nested_sets
checkpoint_rows_treated_as_iid,CLOSED_BY_DEPENDENCE_LOCK,0,candidate_not_subject
seed3_seed4_treated_as_independent_populations,CLOSED_BY_DEPENDENCE_LOCK,0,repeated_training_factor
small_target_count,CLOSED_WITH_LIMITATION,0,exact_signflip_and_mandatory_limitation
multiple_unadjusted_budget_tests,CLOSED_BY_MAXT,0,simultaneous_family
first_significant_budget_selection,CLOSED_BY_BSTAR_CLOSURE,0,all_larger_must_qualify
nonmonotone_frontier_cherry_pick,CLOSED_BY_BSTAR_CLOSURE,0,raw_curve_retained
active_learning_policy_creep,CLOSED_BY_Q0,0,no_policy_search
new_feature_kernel_search,CLOSED_BY_SCOPE,0,exact_selector_only
H2_model_rescue,CLOSED_BY_S3_CONTRACT,0,descriptive_only
raw_p_rescue,CLOSED_BY_SIMULTANEOUS_RULE,0,no_unadjusted_selection
few_label_sufficiency_overclaim,CLOSED_BY_CLAIM_CONTRACT,0,existing_field_policy_specific
deployability_overclaim,CLOSED_BY_CLAIM_CONTRACT,0,no_deployability
population_or_dataset_generalization_overclaim,CLOSED_BY_CLAIM_CONTRACT,0,no_external_validity
raw_cache_or_weights_in_git,CLOSED_BY_ARTIFACT_POLICY,0,compact_only
unauthorized_C80E_execution,CLOSED_C80P_STOP,0,no_real_budget_analysis
unauthorized_BNCI2014_004,CLOSED_BY_SCOPE,0,untouched
unauthorized_manuscript,CLOSED_BY_SCOPE,0,not_started
