tag,role,budget_h,seed,training_run_id,training_job_id,source_path,source_mode,source_size_bytes,source_sha256,selected_epoch,selection_metric,selection_metric_value,config_sha256,data_manifest_sha256,code_commit,immutable_path,immutable_size_bytes,immutable_sha256,immutable_mode,strict_reload_pass,parameter_exact_pass,feature_hash,feature_max_abs_diff,feature_equivalence_pass,training_provenance,provenance_status
random,random_init_reference,NA,0,NA,NA,random_init_contract://sha256_bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,logical_contract,NA,bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,NA,not_applicable,NA,bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,NA,57d54d4dd82ca05814335064529c4716a146a0e0,random_init_contract://sha256_bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,NA,bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,logical_contract,True,True,e4b5f700795990df0045e2be6cd18d89548c930475e5df0f70f35e0f71f7f558,0.0,True,deterministic_code_and_seed_contract,PASS_DETERMINISTIC_CONTRACT
released,released_reference,NA,NA,NA,NA,/home/infres/yinwang/eeg2025/NIPS/Cbramod_pretrained_weights.pth,0o644,19775842,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178,NA,not_applicable,NA,NA,NA,NA,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178.pt,19775842,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178,0o444,True,True,e8d236c8f13aeb640ff60b8225906ff14f3ea31146064223ca9bb1d4df86736a,0.0,True,externally_released_locally_unverified,PASS_REFERENCE_ONLY
H200_s0,route_b_checkpoint,200.0,0,H200_s0,890125_0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H200_s0/best.pth,0o644,59309689,64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63,49,pretrain_val_loss_only,0.3162865489721298,dc5397b8180ebaeaada4ffd9c5eb9addc4119ed4293c727fc4edf4e735eba2c8,0c8f405559bc3b39df31658e5b6283f70b225f48d36ec9036a33c5b0c99a074a,c3a6265079de1645a35af482f8e2b11d7564dc7a,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63.pt,59309689,64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63,0o444,True,True,594ac2b815637987d947942679e9d8e2204e14609fabbee748b7fe3d550d0800,0.0,True,route_b_run_summary_and_checkpoint,PASS
H200_s1,route_b_checkpoint,200.0,1,H200_s1,890147_1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H200_s1/best.pth,0o644,59309689,125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736,50,pretrain_val_loss_only,0.32015835121273994,612232078da9e525ce3aa5dab4f8d46817b726716369b6113a5977ae17928de2,b484bf9af660741fb72fb46644079eadac21eaed016db5755aeee6d0b72b7f34,714740e0b6b81e73ef6fd996137bc7b28b876b56,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736.pt,59309689,125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736,0o444,True,True,202ee7c1c308dcbfec6e422382484217a75f3e5c188825c6cc78bc240c2ebdeb,0.0,True,route_b_run_summary_and_checkpoint,PASS
H500_s0,route_b_checkpoint,500.0,0,H500_s0,890147_2,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H500_s0/best.pth,0o644,59309689,e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549,49,pretrain_val_loss_only,0.25837720558047295,8eb17829b24d6814539abb8e70d20fb2d55b1a3164d9960cbe8940a91f782fa2,03ab97fa848da1961f1dd92e151e172f42fbae31949328ed0f2efbddc18ba58f,714740e0b6b81e73ef6fd996137bc7b28b876b56,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549.pt,59309689,e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549,0o444,True,True,7d5c60b5423e72935e536583774f540acd7195c3ed6d46f6ce006b32cb70554f,0.0,True,route_b_run_summary_and_checkpoint,PASS
H500_s1,route_b_checkpoint,500.0,1,H500_s1,890147_3,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H500_s1/best.pth,0o644,59309689,fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a,46,pretrain_val_loss_only,0.25497831621517736,5a2fadb37bbe122dce90c2e6fb2824eb82a2e2c6a48709e2c9e10f048c7e8198,f649a6d27bc46bd181d51a812a3bdeae61af578b162f02d59b22c1cdf68843ad,714740e0b6b81e73ef6fd996137bc7b28b876b56,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a.pt,59309689,fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a,0o444,True,True,242516d21dd60b1acde9ed16a53fcdde61a3881d4563bce423fc4e9416703bc5,0.0,True,route_b_run_summary_and_checkpoint,PASS
H1000_s0,route_b_checkpoint,1000.0,0,H1000_s0,890147_4,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H1000_s0/best.pth,0o644,59309689,29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d,50,pretrain_val_loss_only,0.22908601506302753,e2496565531cb03a69258207b1ffc98aa613ed1b3beccbda9f2028663fb000a4,da53968efa9b04ca523c929f959638fd11ba2662d2fb2d06a318d47ed7a14c92,714740e0b6b81e73ef6fd996137bc7b28b876b56,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d.pt,59309689,29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d,0o444,True,True,09b28f40ea465fc5e0b39fae5be93ed877a79ebef3467f463df530baa7d17b6a,0.0,True,route_b_run_summary_and_checkpoint,PASS
H1000_s1,route_b_checkpoint,1000.0,1,H1000_s1,890147_5,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H1000_s1/best.pth,0o644,59309689,b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43,50,pretrain_val_loss_only,0.22952595570435128,a27b3679cfc4a30a7b4fc4e4cb347d49598e4228569fb6e44d6db67e2eea27fe,d2d6f36e42f72c7ec860a322b654ad5135a1e6ac362a9034e01543a71a03b38b,b5b9a08ba821bb9fe80a93f2bdc0df5248d52fc9,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43.pt,59309689,b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43,0o444,True,True,d50185d13c3bdfa5b535f7d4d6d918003b6b068300f340f62b08870a8fe15c6e,0.0,True,route_b_run_summary_and_checkpoint,PASS
H2000_s0,route_b_checkpoint,2000.0,0,H2000_s0,890151_6,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H2000_s0/best.pth,0o644,59309689,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,48,pretrain_val_loss_only,0.21505366607258716,9d8a4cc3210ce86c097d1f37cc17dbbc7c46376f688795b438822ad8ed519e49,b9db88ee9c5dc5220c211da6f45199d706a9ac0a2e225932e8788ad3604ca170,b5b9a08ba821bb9fe80a93f2bdc0df5248d52fc9,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1_immutable/H2000_s0/best.3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb.pth,59309689,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,0o444,True,True,0849982ffbe9c4a3d00a4b98c741dfc4878a88000304264feadf66fddbe016db,0.0,True,route_b_run_summary_and_checkpoint,PASS
H2000_s1,route_b_checkpoint,2000.0,1,H2000_s1,890151_7,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H2000_s1/best.pth,0o644,59309689,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,49,pretrain_val_loss_only,0.21282545011490583,968110b6b429a1593a9598f4ab185d157ae3611cfb57f1d1abcf3a9532a511fd,82e834f386ddeb65a9d09cbf22d22452e599121c3bf026a92694ed1926870539,b5b9a08ba821bb9fe80a93f2bdc0df5248d52fc9,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1_immutable/H2000_s1/best.492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f.pth,59309689,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,0o444,True,True,0bc1ab035795bad4cc6098899ad35ec33334fdf4ec10b47cdf982a883741657c,0.0,True,route_b_run_summary_and_checkpoint,PASS
