eps_quantile,epsilon_radius,min_n,hit,coverage,enrichment,target_min_hit,target_min_coverage,trajectory_min_hit,trajectory_min_coverage,trajectory_actionability_fail_fraction,mean_neighbor_count,median_neighbor_count,p10_neighbor_count,empty_fraction,singleton_fraction,target_labels_diagnostic_only
q10,1.269009511962666,1,1.0,0.976376001387905,2.3597078708023864,1.0,0.9044117647058824,0.0,0.6153846153846154,0.30246913580246915,10.815983175604627,2.0,1.0,0.022870662460567823,0.0935856992639327,1
q10,1.269009511962666,2,1.0,0.8789980301333661,2.3597078708023864,1.0,0.6299019607843137,0.0,0.38461538461538464,0.32098765432098764,10.815983175604627,2.0,1.0,0.022870662460567823,0.0935856992639327,1
q10,1.269009511962666,3,0.875,0.19528090657697403,2.0647443869520883,0.0,0.0,0.0,0.0,0.9444444444444444,10.815983175604627,2.0,1.0,0.022870662460567823,0.0935856992639327,1
q10,1.269009511962666,5,1.0,0.17954663456697584,2.3597078708023864,1.0,0.0,0.0,0.0,0.9444444444444444,10.815983175604627,2.0,1.0,0.022870662460567823,0.0935856992639327,1
q20,3.2532662364835945,1,1.0,1.0,2.3597078708023864,1.0,1.0,0.0,1.0,0.43209876543209874,54.60725552050473,41.0,5.0,0.0,0.0002628811777076761,1
q20,3.2532662364835945,2,1.0,0.9997276688453159,2.3597078708023864,1.0,0.9975490196078431,0.0,0.9615384615384616,0.43209876543209874,54.60725552050473,41.0,5.0,0.0,0.0002628811777076761,1
q20,3.2532662364835945,3,1.0,0.9220324781574136,2.3597078708023864,1.0,0.8618421052631579,0.0,0.75,0.5,54.60725552050473,41.0,5.0,0.0,0.0002628811777076761,1
q20,3.2532662364835945,5,0.8888888888888888,0.9038061826403693,2.097518107379899,0.0,0.8530701754385965,0.0,0.7,0.5308641975308642,54.60725552050473,41.0,5.0,0.0,0.0002628811777076761,1
q30,4.1397710565503,1,0.8888888888888888,1.0,2.097518107379899,0.0,1.0,0.0,1.0,0.6111111111111112,120.63617245005257,115.0,16.0,0.0,0.0,1
q30,4.1397710565503,2,0.8888888888888888,1.0,2.097518107379899,0.0,1.0,0.0,1.0,0.6111111111111112,120.63617245005257,115.0,16.0,0.0,0.0,1
q30,4.1397710565503,3,0.7777777777777778,0.9783736305862892,1.8353283439574117,0.0,0.9433551198257081,0.0,0.8387096774193549,0.6296296296296297,120.63617245005257,115.0,16.0,0.0,0.0,1
q30,4.1397710565503,5,0.6666666666666666,0.9740505186283035,1.5731385805349243,0.0,0.9411764705882353,0.0,0.8387096774193549,0.6296296296296297,120.63617245005257,115.0,16.0,0.0,0.0,1
q40,4.8729932002538225,1,0.8888888888888888,1.0,2.097518107379899,0.0,1.0,0.0,1.0,0.5987654320987654,183.93796004206098,195.0,39.0,0.0,0.0,1
q40,4.8729932002538225,2,0.8888888888888888,1.0,2.097518107379899,0.0,1.0,0.0,1.0,0.5987654320987654,183.93796004206098,195.0,39.0,0.0,0.0,1
q40,4.8729932002538225,3,0.7777777777777778,0.9911393304728136,1.8353283439574117,0.0,0.9629629629629629,0.0,0.9032258064516129,0.6111111111111112,183.93796004206098,195.0,39.0,0.0,0.0,1
q40,4.8729932002538225,5,0.7777777777777778,0.9903386863427639,1.8353283439574117,0.0,0.9629629629629629,0.0,0.9032258064516129,0.6111111111111112,183.93796004206098,195.0,39.0,0.0,0.0,1
