pair,seed,cell,n_subjects,cap_windows,win_min,win_max,win_maxmin,gini,total_hours,budget_quant_h,pct_off_quant,gate_maxmin_le1,gate_gini_le0p02,gate_within_1pct
A,0,low,128,94,94,94,0,0.0,100.2667,100.2667,-0.0,True,True,True
A,0,high,256,94,94,94,0,0.0,200.5333,200.5333,-0.0,True,True,True
A,0,val,64,94,94,94,0,0.0,50.1333,50.1333,-0.0,True,True,True
A,1,low,128,94,94,94,0,0.0,100.2666,100.2667,-0.0,True,True,True
A,1,high,256,94,94,94,0,0.0,200.5333,200.5333,-0.0,True,True,True
A,1,val,64,94,94,94,0,0.0,50.1333,50.1333,-0.0,True,True,True
A,2,low,128,94,94,94,0,0.0,100.2666,100.2667,-0.0,True,True,True
A,2,high,256,94,94,94,0,0.0,200.5333,200.5333,-0.0,True,True,True
A,2,val,64,94,94,94,0,0.0,50.1333,50.1333,-0.0,True,True,True
B,0,low,512,23,23,23,0,0.0,98.1335,98.1333,0.0001,True,True,True
B,0,high,1024,23,23,23,0,0.0,196.267,196.2667,0.0002,True,True,True
B,0,val,64,23,23,23,0,0.0,12.2667,12.2667,0.0002,True,True,True
B,1,low,512,23,23,23,0,0.0,98.1335,98.1333,0.0001,True,True,True
B,1,high,1024,23,23,23,0,0.0,196.267,196.2667,0.0001,True,True,True
B,1,val,64,23,23,23,0,0.0,12.2667,12.2667,0.0002,True,True,True
B,2,low,512,23,23,23,0,0.0,98.1335,98.1333,0.0002,True,True,True
B,2,high,1024,23,23,23,0,0.0,196.267,196.2667,0.0002,True,True,True
B,2,val,64,23,23,23,0,0.0,12.2667,12.2667,0.0002,True,True,True
C,0,low,1024,12,12,12,0,0.0,102.4,102.4,-0.0,True,True,True
C,0,high,2048,12,12,12,0,0.0,204.8,204.8,-0.0,True,True,True
C,0,val,64,12,12,12,0,0.0,6.4,6.4,-0.0,True,True,True
C,1,low,1024,12,12,12,0,0.0,102.4,102.4,-0.0,True,True,True
C,1,high,2048,12,12,12,0,0.0,204.8,204.8,-0.0,True,True,True
C,1,val,64,12,12,12,0,0.0,6.4,6.4,-0.0,True,True,True
C,2,low,1024,12,12,12,0,0.0,102.4,102.4,0.0,True,True,True
C,2,high,2048,12,12,12,0,0.0,204.8,204.8,-0.0,True,True,True
C,2,val,64,12,12,12,0,0.0,6.4,6.4,-0.0,True,True,True
