N,seed,n_subj,total_hours,pct_off_budget,win_min,win_max,win_maxmin,gini,train_val_disjoint,gate_200h_1pct,gate_maxmin_le1,gate_gini_le0p02
128,0,128,200.0,0.0,187,188,1,0.00133,True,True,True,True
128,1,128,200.0,0.0,187,188,1,0.00133,True,True,True,True
128,2,128,200.0,0.0,187,188,1,0.00133,True,True,True,True
256,0,256,200.0,0.0,93,94,1,0.002,True,True,True,True
256,1,256,200.0,0.0,93,94,1,0.002,True,True,True,True
256,2,256,200.0,0.0,93,94,1,0.002,True,True,True,True
512,0,512,200.0,0.0,46,47,1,0.00233,True,True,True,True
512,1,512,200.0,0.0,46,47,1,0.00233,True,True,True,True
512,2,512,200.0,0.0,46,47,1,0.00233,True,True,True,True
1024,0,1024,200.0,0.0,23,24,1,0.0105,True,True,True,True
1024,1,1024,200.0,0.0,23,24,1,0.0105,True,True,True,True
1024,2,1024,200.0,0.0,23,24,1,0.0105,True,True,True,True
2048,0,2048,200.0,0.0,11,12,1,0.01725,True,True,True,True
2048,1,2048,200.0,0.0,11,12,1,0.01725,True,True,True,True
2048,2,2048,200.0,0.0,11,12,1,0.01725,True,True,True,True
