scenario,expected_behavior,observed_summary,passed,real_field_score_used
S0_all_methods_null,null_ranking,0.03094268420546156,1,0
S1_local_confidence_nontransport,local_relation_not_shared,0.025376583886525465,1,0
S2_ALine_shared_relation,ALine_ranking_recovers,0.9922764227642276,1,0
S3_ALine_pair_dependence_failure,pair_rows_not_scientific_N,0.027392304682063797,1,0
S4_SND_association_without_actionability,association_without_signed_ranking,0.9951687254754867,1,0
S5_ATC_DoC_covariate_shift_success,confidence_estimator_recovers,0.9752968961702884,1,0
S6_ATC_DoC_class_conditional_failure,confidence_estimator_fails,-0.060579334856965636,1,0
S7_COTT_prior_mismatch_success,transport_penalizes_prior_mismatch,0.3733505288137524,1,0
S8_source_only_weak_ranking,weak_source_ranking,0.206467040315572,1,0
S9_one_label_regret_without_top1,low_regret_top1_failure,0.030886054515515203,1,0
S10_zero_label_matches_B1,noninferior,0.0013248828614743195,1,0
S11_target_heterogeneous_ranking,target_heterogeneous,0.0017748916457745595,1,0
S12_pseudoreplication_trap,row_iid_understates_uncertainty,0.038979827590376444,1,0
