method_id,strict_source_trial_view,source_audit_label_view,target_unlabeled_trial_view,target_construction_view,target_evaluation_view,trajectory_genealogy_metadata,same_label_oracle_view,evaluation_access_stage,oracle_reachable
B0,0,0,0,0,0,0,0,scoring_after_selection_freeze,0
B1,0,0,0,0,0,1,0,scoring_after_selection_freeze,0
B2,0,0,0,0,0,1,0,scoring_after_selection_freeze,0
B3,0,0,0,0,0,1,0,scoring_after_selection_freeze,0
B4O,0,0,0,0,0,1,0,scoring_after_selection_freeze,0
B4S,0,0,0,0,0,1,0,scoring_after_selection_freeze,0
B5,0,0,0,0,1,0,0,denominator_only,0
S1,1,1,0,0,0,0,0,scoring_after_selection_freeze,0
S2,1,1,0,0,0,0,0,scoring_after_selection_freeze,0
S3,0,0,0,0,0,0,0,scoring_after_selection_freeze,0
S4,0,0,0,0,0,0,0,scoring_after_selection_freeze,0
U1,0,0,1,0,0,0,0,scoring_after_selection_freeze,0
U2,0,0,1,0,0,0,0,scoring_after_selection_freeze,0
U3,0,0,1,0,0,0,0,scoring_after_selection_freeze,0
U4,0,0,1,0,0,0,0,scoring_after_selection_freeze,0
U5,0,0,1,0,0,0,0,scoring_after_selection_freeze,0
U6,1,1,1,0,0,0,0,scoring_after_selection_freeze,0
U7,1,1,1,0,0,0,0,scoring_after_selection_freeze,0
U8,0,0,0,0,0,0,0,scoring_after_selection_freeze,0
U9,0,0,0,0,0,0,0,scoring_after_selection_freeze,0
U10,0,0,0,0,0,0,0,scoring_after_selection_freeze,0
U11,0,0,1,0,0,0,0,scoring_after_selection_freeze,0
U12,0,1,1,0,0,0,0,scoring_after_selection_freeze,0
U13,1,1,1,0,0,0,0,scoring_after_selection_freeze,0
U14,0,0,1,0,0,0,0,scoring_after_selection_freeze,0
U15,1,1,1,0,0,0,0,scoring_after_selection_freeze,0
U16,0,1,0,0,1,0,0,diagnostic_after_selection_freeze,0
L1,0,0,0,1,0,0,0,scoring_after_selection_freeze,0
L2,0,0,0,1,0,0,0,scoring_after_selection_freeze,0
L3,0,0,0,1,0,0,0,scoring_after_selection_freeze,0
L4,0,0,0,1,0,0,0,scoring_after_selection_freeze,0
L5,0,0,0,1,0,0,0,scoring_after_selection_freeze,0
L6,0,0,0,1,0,0,0,scoring_after_selection_freeze,0
L7,0,0,0,1,0,0,0,scoring_after_selection_freeze,0
