seed,budget,expected_standardized_regret,mean_regret_reduction_vs_source,direct_qualification,closure_qualification,pass
3,1,0.35338318633180843,0.426092786538936,1,1,1
3,2,0.2782089536699878,0.5012670192007567,1,1,1
3,4,0.21660180756980868,0.5628741653009357,1,1,1
3,8,0.16631014202055397,0.6131658308501906,1,1,1
3,16,0.13453563321685552,0.644940339653889,1,1,1
3,32,0.11187064388052365,0.6676053289902208,1,1,1
3,FULL,0.08279432226091084,0.6966816506098336,1,1,1
4,1,0.3737050812998979,0.42374240248226924,1,1,1
4,2,0.3002019611832293,0.4972455225989379,1,1,1
4,4,0.23247996828407924,0.5649675154980879,1,1,1
4,8,0.18112845533394029,0.6163190284482268,1,1,1
4,16,0.14462401480239961,0.6528234689797675,1,1,1
4,32,0.11768566212495614,0.6797618216572109,1,1,1
4,FULL,0.1106669682773286,0.6867805155048384,1,1,1
