seed,budget,top1,top5,top10,coverage_top1,coverage_top5,coverage_top10,pass
3,1,0.037841796875,0.159210205078125,0.280792236328125,0.161865234375,0.480499267578125,0.652313232421875,1
3,2,0.053955078125,0.21142578125,0.354095458984375,0.216827392578125,0.5750732421875,0.73150634765625,1
3,4,0.072479248046875,0.266265869140625,0.432403564453125,0.2774658203125,0.6590576171875,0.793792724609375,1
3,8,0.09326171875,0.340057373046875,0.52423095703125,0.352569580078125,0.729736328125,0.8363037109375,1
3,16,0.117034912109375,0.41961669921875,0.62774658203125,0.421875,0.77978515625,0.871124267578125,1
3,32,0.1456298828125,0.52215576171875,0.735382080078125,0.498779296875,0.83001708984375,0.903900146484375,1
3,FULL,0.125,0.6875,0.75,0.5625,0.9375,0.9375,1
4,1,0.03839111328125,0.164825439453125,0.29412841796875,0.18463134765625,0.526702880859375,0.69970703125,1
4,2,0.05743408203125,0.218536376953125,0.363372802734375,0.241912841796875,0.614349365234375,0.7742919921875,1
4,4,0.07806396484375,0.27325439453125,0.439117431640625,0.309539794921875,0.704925537109375,0.833709716796875,1
4,8,0.098846435546875,0.3270263671875,0.50830078125,0.3770751953125,0.767974853515625,0.86712646484375,1
4,16,0.1221923828125,0.38665771484375,0.57525634765625,0.44232177734375,0.806976318359375,0.88226318359375,1
4,32,0.146820068359375,0.4598388671875,0.62237548828125,0.5079345703125,0.832550048828125,0.88189697265625,1
4,FULL,0.125,0.5,0.6875,0.5,0.875,0.875,1
