method_id,method,information_class,status,canonical_formula,required_inputs,required_views,representations_needed,class_prior_needed,new_training_or_gradients_needed,available_for_C81E,score_direction,deviation_or_exclusion_reason,real_outcome_used
B0,Uniform random candidate,I0,FEASIBLE_PRIMARY,analytic expectation under probability 1/81 for every canonical candidate,candidate identities only,,0,0,0,1,not_applicable,none,0
B1,ERM anchor,I0,FEASIBLE_PRIMARY,select the unique ERM anchor in each context,regime and genealogy keys,trajectory_genealogy_metadata,0,0,0,1,fixed,none,0
B2,Final OACI checkpoint,I0,FEASIBLE_SECONDARY,select OACI trajectory_order=40,regime and trajectory order,trajectory_genealogy_metadata,0,0,0,1,fixed,none,0
B3,Final SRC checkpoint,I0,FEASIBLE_SECONDARY,select SRC trajectory_order=40,regime and trajectory order,trajectory_genealogy_metadata,0,0,0,1,fixed,none,0
B4O,OACI cadence midpoint,I0,FEASIBLE_SECONDARY,select OACI trajectory_order=20,regime and trajectory order,trajectory_genealogy_metadata,0,0,0,1,fixed,B4 expanded prospectively into one midpoint per trajectory family,0
B4S,SRC cadence midpoint,I0,FEASIBLE_SECONDARY,select SRC trajectory_order=20,regime and trajectory order,trajectory_genealogy_metadata,0,0,0,1,fixed,B4 expanded prospectively into one midpoint per trajectory family,0
B5,Oracle-best candidate,IOr,CEILING_ONLY_NOT_SELECTOR,minimum held-evaluation regret over 81 candidates,evaluation utility,target_evaluation_view,0,0,0,0,ceiling,never enters selector comparison or taxonomy,0
S1,Source-validation balanced accuracy,IS,FEASIBLE_PRIMARY,mean across source domains of macro class recall from frozen source predictions,source predictions labels and domain IDs,strict_source_trial_view|source_audit_label_view,0,0,0,1,higher,frozen source audit rather than a newly held-out source training fold,0
S2,Source-validation negative NLL,IS,FEASIBLE_SECONDARY,negative mean source NLL with equal source-domain weighting,source probabilities labels and domain IDs,strict_source_trial_view|source_audit_label_view,0,0,0,1,higher,none,0
S3,Source-LODO,IS,EXCLUDED_INPUT_UNAVAILABLE,mean held-source-domain score from models retrained without each source domain,retrained leave-one-source-domain candidate folds,,0,0,1,0,higher,required folds do not exist and new training is forbidden,0
S4,Historical strict-source F2 candidate,IS,EXCLUDED_INPUT_UNAVAILABLE,exact registered cross-fitted F2 predicted utility per candidate,frozen per-candidate cross-fitted predictions for both seeds,,0,0,0,0,higher,committed compact artifacts contain qualification aggregates but no execution-bound per-candidate selector descriptor,0
U1,Mean maximum softmax probability,IU,FEASIBLE_SECONDARY,mean_i max_k p_ik,target probabilities,target_unlabeled_trial_view,0,0,0,1,higher,none,0
U2,Negative predictive entropy,IU,FEASIBLE_SECONDARY,mean_i sum_k p_ik log(p_ik),target probabilities,target_unlabeled_trial_view,0,0,0,1,higher,none,0
U3,Negative average energy,IU,FEASIBLE_SECONDARY,mean_i logsumexp_k(logit_ik) with T=1,target logits,target_unlabeled_trial_view,0,0,0,1,higher,temperature fixed prospectively at 1,0
U4,Information maximization,IU,FEASIBLE_SECONDARY,H(mean_i p_i)-mean_i H(p_i),target probabilities,target_unlabeled_trial_view,0,0,0,1,higher,none,0
U5,Normalized nuclear norm,IU,FEASIBLE_PRIMARY,"nuclear_norm(P)/sqrt(min(N,K)*N)",target probability matrix P,target_unlabeled_trial_view,0,0,0,1,higher,none,0
U6,Difference of Confidence,ISU,FEASIBLE_SECONDARY,source_domain_balanced_BAcc + mean_target_MSP - mean_source_MSP,source labels probabilities domains and target probabilities,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,0,0,0,1,higher,balanced-accuracy adaptation is declared because the endpoint is balanced accuracy,0
U7,Average Thresholded Confidence MC,ISU,FEASIBLE_PRIMARY,threshold source MSP at quantile 1-source_domain_balanced_BAcc; score is target fraction MSP above threshold,source labels probabilities domains and target probabilities,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,0,0,0,1,higher,ATC-MC fixed; balanced domain weighting matches the registered endpoint,0
U8,Importance-weighted cross-validation,ISU,EXCLUDED_INPUT_UNAVAILABLE,source validation loss weighted by p_target(x)/p_source(x),frozen density ratios on source validation rows,,0,0,1,0,higher_after_negative_loss,no frozen density-ratio estimator exists; fitting one is a new model,0
U9,Deep Embedded Validation,ISU,EXCLUDED_INPUT_UNAVAILABLE,importance-weighted validation with embedded domain discrimination and control variate,frozen DEV domain discriminator weights and embedded validation contract,,0,0,1,0,higher_after_negative_risk,required discriminator is absent and fitting it is forbidden,0
U10,Importance-weighted group accuracy estimation,ISU,EXCLUDED_INPUT_UNAVAILABLE,optimized group-weighted source accuracy estimate for target vicinity,prospectively defined groups and frozen optimized group weights,,0,0,1,0,higher,groups and fitted weights are absent; creating them would invent a new estimator,0
U11,MaNo p4,IU,FEASIBLE_PRIMARY,"delta=mean uniform cross-entropy over full target set; if delta>5 use softmax(logits), else row-L1-normalize(logits+1+logits^2/2-row_min); score=L4(P)/(N*K)^(1/4)",target logits,target_unlabeled_trial_view,0,0,0,1,higher,order-invariant whole-set delta replaces official first-five-loader-batch estimate; p=4 and scaling branch otherwise exact to official commit b9c0262,0
U12,Confidence Optimal Transport,ISU,FEASIBLE_SECONDARY,1-mean optimal assignment L_infinity cost between target probability rows and one-hot source-empirical-prior support,target probabilities and source empirical class prior,source_audit_label_view|target_unlabeled_trial_view,0,1,0,1,higher,noninteger prior counts use deterministic largest-remainder apportionment tied by class ID,0
U13,Confidence Optimal Transport with Thresholding,ISU,FEASIBLE_PRIMARY,COT per-row matched costs; threshold calibrated on source true-class costs so above-threshold fraction equals source error; score is target fraction below threshold,source labels probabilities and target probabilities,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,0,1,0,1,higher,source empirical prior primary; uniform prior registered sensitivity only,0
U14,Soft Neighborhood Density,IU,FEASIBLE_PRIMARY,"mean_i entropy(softmax_j(cos(q_i,q_j)/0.05),j!=i), q_i=L2_normalize(target_probability_i)",target probabilities,target_unlabeled_trial_view,0,0,0,1,higher,paper softmax-output feature layer fixed; diagonal excluded exactly,0
U15,Agreement-on-the-Line,ISU,FEASIBLE_PRIMARY,fit OLS Phi^-1(target_pair_agreement)=a*Phi^-1(source_pair_agreement)+b over all unordered candidate pairs; candidate score=Phi(a*Phi^-1(source_domain_balanced_BAcc)+b),source and target-unlabeled predictions plus source labels and domains,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,0,0,0,1,higher,agreement proportions use fixed Jeffreys correction (count+0.5)/(n+1); pairs are fit observations but never scientific N,0
U16,Accuracy-on-the-Line diagnostic,DIAGNOSTIC,FEASIBLE_DIAGNOSTIC_ONLY,post-freeze association between source and held-evaluation utilities across candidates,frozen source score and evaluation utility,source_audit_label_view|target_evaluation_view,0,0,0,1,not_a_selector,evaluation labels make this measurement-only and exclude it from selection taxonomy,0
L1,Frozen Q0 B=1,ILc,FEASIBLE_PRIMARY_FIXED_COMPARATOR,reuse C80 frozen Q0 B=1 selection distribution without recomputation,C80 frozen result artifact,target_construction_view,0,0,0,1,higher,post-C80 outcome-informed primary labeled comparator,0
L2,Frozen Q0 B=2,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,reuse C80 frozen Q0 B=2 selection distribution,C80 frozen result artifact,target_construction_view,0,0,0,1,higher,none,0
L3,Frozen Q0 B=4,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,reuse C80 frozen Q0 B=4 selection distribution,C80 frozen result artifact,target_construction_view,0,0,0,1,higher,none,0
L4,Frozen Q0 B=8,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,reuse C80 frozen Q0 B=8 selection distribution,C80 frozen result artifact,target_construction_view,0,0,0,1,higher,none,0
L5,Frozen Q0 B=16,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,reuse C80 frozen Q0 B=16 selection distribution,C80 frozen result artifact,target_construction_view,0,0,0,1,higher,none,0
L6,Frozen Q0 B=32,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,reuse C80 frozen Q0 B=32 selection distribution,C80 frozen result artifact,target_construction_view,0,0,0,1,higher,none,0
