risk_id,blocking,status,control,real_outcome_used
post_C80_outcome_informed_design,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
best_of_many_baseline_selection,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
method_family_multiplicity,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
implementation_not_faithful_to_reference,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
target_outcome_hyperparameter_tuning,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
score_direction_flipped_after_outcomes,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
class_prior_from_target_labels,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
source_validation_leakage,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
construction_evaluation_overlap,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
target4_primary_leakage,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
same_label_oracle_reachability,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
trial_row_pseudoreplication,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
checkpoint_pseudoreplication,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
ALine_pair_pseudoreplication,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
trajectory_correlation_ignored,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
seed_treated_as_independent_population,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
LOTO_rule_not_replayed,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
B1_called_universal_sufficiency,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
source_relative_gain_called_low_absolute_regret,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
top1_failure_hidden,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
representation_association_called_mechanism,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
retraining_or_adaptation_mixed_with_selection,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
active_acquisition_mixed_with_Q0,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
raw_cache_or_weights_in_git,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
unauthorized_real_baseline_computation,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
external_validity_overclaim,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
manuscript_claim_before_baseline_audit,0,CLOSED_BY_PROTOCOL_LOCK,locked_registry_view_guard_dependence_or_claim_contract,0
