method_id,raw_score_direction,canonical_higher_is_better,may_flip_after_outcome
B0,not_applicable,0,0
B1,fixed,1,0
B2,fixed,1,0
B3,fixed,1,0
B4O,fixed,1,0
B4S,fixed,1,0
B5,ceiling,0,0
S1,higher,1,0
S2,higher,1,0
S3,higher,1,0
S4,higher,1,0
U1,higher,1,0
U2,higher,1,0
U3,higher,1,0
U4,higher,1,0
U5,higher,1,0
U6,higher,1,0
U7,higher,1,0
U8,higher_after_negative_loss,0,0
U9,higher_after_negative_risk,0,0
U10,higher,1,0
U11,higher,1,0
U12,higher,1,0
U13,higher,1,0
U14,higher,1,0
U15,higher,1,0
U16,not_a_selector,0,0
L1,higher,1,0
L2,higher,1,0
L3,higher,1,0
L4,higher,1,0
L5,higher,1,0
L6,higher,1,0
L7,higher,1,0
