dataset,target_subject,token_seed,gamma,l4_conflict_target,l5_conflict_src_heldout
BNCI2014_001,1,20260721,0.0,0.0508,0.0139
BNCI2014_001,1,20260721,0.2,0.0288,0.0104
BNCI2014_001,1,20260721,0.4,0.0646,0.0243
BNCI2014_001,2,20260721,0.0,0.0185,0.0182
BNCI2014_001,2,20260721,0.2,0.0392,-0.0122
BNCI2014_001,2,20260721,0.4,0.0428,0.0069
BNCI2014_001,3,20260721,0.0,0.0349,-0.0043
BNCI2014_001,3,20260721,0.2,0.0357,-0.0139
BNCI2014_001,3,20260721,0.4,0.0556,0.0069
BNCI2014_001,4,20260721,0.0,0.039,0.0043
BNCI2014_001,4,20260721,0.2,0.0418,0.0347
BNCI2014_001,4,20260721,0.4,0.0557,0.0582
BNCI2014_001,5,20260721,0.0,0.0584,0.0043
BNCI2014_001,5,20260721,0.2,0.0512,0.0026
BNCI2014_001,5,20260721,0.4,0.0977,0.0208
BNCI2014_001,6,20260721,0.0,0.0609,-0.0286
BNCI2014_001,6,20260721,0.2,0.0615,-0.0113
BNCI2014_001,6,20260721,0.4,0.0712,-0.0425
BNCI2014_001,7,20260721,0.0,0.0267,0.0009
BNCI2014_001,7,20260721,0.2,0.0651,0.0234
BNCI2014_001,7,20260721,0.4,0.0613,-0.0365
BNCI2014_001,8,20260721,0.0,0.0429,0.0035
BNCI2014_001,8,20260721,0.2,0.0521,0.0278
BNCI2014_001,8,20260721,0.4,0.0482,-0.0686
BNCI2014_001,9,20260721,0.0,0.0424,0.0425
BNCI2014_001,9,20260721,0.2,0.0481,-0.046
BNCI2014_001,9,20260721,0.4,0.0338,-0.0243
BNCI2015_001,10,20260721,0.0,0.1031,0.02
BNCI2015_001,10,20260721,0.2,0.068,0.0008
BNCI2015_001,10,20260721,0.4,0.0501,0.0383
BNCI2015_001,11,20260721,0.0,0.0998,0.04
BNCI2015_001,11,20260721,0.2,0.0704,0.04
BNCI2015_001,11,20260721,0.4,0.0462,-0.0121
BNCI2015_001,12,20260721,0.0,0.086,0.0342
BNCI2015_001,12,20260721,0.2,0.0618,0.1417
BNCI2015_001,12,20260721,0.4,0.0418,0.135
BNCI2015_001,1,20260721,0.0,0.0919,0.0693
BNCI2015_001,1,20260721,0.2,0.0722,0.0621
BNCI2015_001,1,20260721,0.4,0.102,0.0579
BNCI2015_001,2,20260721,0.0,0.1532,0.1012
BNCI2015_001,2,20260721,0.2,0.1141,0.1081
BNCI2015_001,2,20260721,0.4,0.1458,0.0806
BNCI2015_001,3,20260721,0.0,0.1689,0.0079
BNCI2015_001,3,20260721,0.2,0.1304,-0.0007
BNCI2015_001,3,20260721,0.4,0.0571,0.0429
BNCI2015_001,4,20260721,0.0,0.135,0.0038
BNCI2015_001,4,20260721,0.2,0.0494,0.0112
BNCI2015_001,4,20260721,0.4,0.0777,0.04
BNCI2015_001,5,20260721,0.0,0.135,0.0171
BNCI2015_001,5,20260721,0.2,0.0544,0.0514
BNCI2015_001,5,20260721,0.4,0.0676,0.035
BNCI2015_001,6,20260721,0.0,0.0451,-0.02
BNCI2015_001,6,20260721,0.2,0.044,-0.105
BNCI2015_001,6,20260721,0.4,0.0519,0.0733
BNCI2015_001,7,20260721,0.0,0.1324,0.105
BNCI2015_001,7,20260721,0.2,0.0661,-0.0021
BNCI2015_001,7,20260721,0.4,0.0262,-0.0036
BNCI2015_001,8,20260721,0.0,0.0776,0.08
BNCI2015_001,8,20260721,0.2,0.051,0.0787
BNCI2015_001,8,20260721,0.4,0.0426,0.0425
BNCI2015_001,9,20260721,0.0,0.1023,0.055
BNCI2015_001,9,20260721,0.2,0.1052,0.0607
BNCI2015_001,9,20260721,0.4,0.0803,0.0093
BNCI2014_001,1,20260722,0.0,0.0553,0.0104
BNCI2014_001,1,20260722,0.2,0.0661,0.0026
BNCI2014_001,1,20260722,0.4,0.0873,-0.0556
BNCI2014_001,2,20260722,0.0,0.0201,0.0616
BNCI2014_001,2,20260722,0.2,0.0256,-0.0113
BNCI2014_001,2,20260722,0.4,0.0453,-0.0495
BNCI2014_001,3,20260722,0.0,0.0248,0.0104
BNCI2014_001,3,20260722,0.2,0.0399,-0.0078
BNCI2014_001,3,20260722,0.4,0.0674,-0.0694
BNCI2014_001,4,20260722,0.0,0.0346,-0.0156
BNCI2014_001,4,20260722,0.2,0.0473,-0.0747
BNCI2014_001,4,20260722,0.4,0.057,-0.0304
BNCI2014_001,5,20260722,0.0,0.0247,0.0278
BNCI2014_001,5,20260722,0.2,0.0616,0.0278
BNCI2014_001,5,20260722,0.4,0.0683,0.0269
BNCI2014_001,6,20260722,0.0,0.0504,-0.0512
BNCI2014_001,6,20260722,0.2,0.0617,0.0035
BNCI2014_001,6,20260722,0.4,0.0564,0.0347
BNCI2014_001,7,20260722,0.0,0.0349,0.0078
BNCI2014_001,7,20260722,0.2,0.0332,-0.0035
BNCI2014_001,7,20260722,0.4,0.0764,-0.0226
BNCI2014_001,8,20260722,0.0,0.0376,0.0165
BNCI2014_001,8,20260722,0.2,0.0698,0.0278
BNCI2014_001,8,20260722,0.4,0.0287,-0.0347
BNCI2014_001,9,20260722,0.0,0.0348,0.0417
BNCI2014_001,9,20260722,0.2,0.0476,-0.013
BNCI2014_001,9,20260722,0.4,0.0582,-0.0625
BNCI2015_001,10,20260722,0.0,0.1039,0.1143
BNCI2015_001,10,20260722,0.2,0.0594,0.075
BNCI2015_001,10,20260722,0.4,0.0359,0.1579
BNCI2015_001,11,20260722,0.0,0.1036,0.0214
BNCI2015_001,11,20260722,0.2,0.0714,-0.0136
BNCI2015_001,11,20260722,0.4,0.0485,-0.0707
BNCI2015_001,12,20260722,0.0,0.0971,0.0229
BNCI2015_001,12,20260722,0.2,0.0885,0.0457
BNCI2015_001,12,20260722,0.4,0.0329,-0.0043
BNCI2015_001,1,20260722,0.0,0.0955,0.0514
BNCI2015_001,1,20260722,0.2,0.1268,0.0629
BNCI2015_001,1,20260722,0.4,0.0944,0.055
BNCI2015_001,2,20260722,0.0,0.1361,0.1179
BNCI2015_001,2,20260722,0.2,0.1323,0.1243
BNCI2015_001,2,20260722,0.4,0.1218,0.1157
BNCI2015_001,3,20260722,0.0,0.2178,0.0121
BNCI2015_001,3,20260722,0.2,0.1369,-0.0007
BNCI2015_001,3,20260722,0.4,0.0629,0.0936
BNCI2015_001,4,20260722,0.0,0.1187,-0.015
BNCI2015_001,4,20260722,0.2,0.0498,-0.0193
BNCI2015_001,4,20260722,0.4,0.0713,0.0164
BNCI2015_001,5,20260722,0.0,0.1553,-0.0137
BNCI2015_001,5,20260722,0.2,0.0371,0.0119
BNCI2015_001,5,20260722,0.4,0.0595,-0.0094
BNCI2015_001,6,20260722,0.0,0.0559,0.0092
BNCI2015_001,6,20260722,0.2,0.0529,0.0158
BNCI2015_001,6,20260722,0.4,0.0433,0.1008
BNCI2015_001,7,20260722,0.0,0.1639,0.0786
BNCI2015_001,7,20260722,0.2,0.0781,0.0586
BNCI2015_001,7,20260722,0.4,0.0342,0.0371
BNCI2015_001,8,20260722,0.0,0.0849,0.1075
BNCI2015_001,8,20260722,0.2,0.0454,0.0325
BNCI2015_001,8,20260722,0.4,0.0305,-0.0483
BNCI2015_001,9,20260722,0.0,0.1096,0.0658
BNCI2015_001,9,20260722,0.2,0.0795,-0.0025
BNCI2015_001,9,20260722,0.4,0.0669,0.0283
BNCI2014_001,1,20260723,0.0,0.0349,-0.0009
BNCI2014_001,1,20260723,0.2,0.0478,-0.0104
BNCI2014_001,1,20260723,0.4,0.0663,0.0035
BNCI2014_001,2,20260723,0.0,0.0187,-0.0174
BNCI2014_001,2,20260723,0.2,0.0558,-0.0217
BNCI2014_001,2,20260723,0.4,0.0808,0.046
BNCI2014_001,3,20260723,0.0,0.0415,0.0078
BNCI2014_001,3,20260723,0.2,0.058,0.0156
BNCI2014_001,3,20260723,0.4,0.0576,0.02
BNCI2014_001,4,20260723,0.0,0.0357,0.0208
BNCI2014_001,4,20260723,0.2,0.0503,0.0078
BNCI2014_001,4,20260723,0.4,0.0675,-0.0347
BNCI2014_001,5,20260723,0.0,0.0246,0.0373
BNCI2014_001,5,20260723,0.2,0.0392,0.0955
BNCI2014_001,5,20260723,0.4,0.0708,-0.0174
BNCI2014_001,6,20260723,0.0,0.0688,0.0234
BNCI2014_001,6,20260723,0.2,0.0593,0.013
BNCI2014_001,6,20260723,0.4,0.0726,0.0165
BNCI2014_001,7,20260723,0.0,0.0497,-0.0009
