dataset,target_subject,token_seed,gamma,H0_tgt,Hconflict_tgt,Hshuffle_tgt,target_harm
BNCI2014_001,1,20260721,0.0,0.4826,0.4826,0.4826,0.0
BNCI2014_001,1,20260721,0.2,0.4826,0.4045,0.4635,0.0781
BNCI2014_001,1,20260721,0.4,0.4826,0.3958,0.3976,0.0868
BNCI2014_001,2,20260721,0.0,0.2569,0.2569,0.2569,0.0
BNCI2014_001,2,20260721,0.2,0.2569,0.2448,0.2795,0.0122
BNCI2014_001,2,20260721,0.4,0.2569,0.2708,0.2431,-0.0139
BNCI2014_001,3,20260721,0.0,0.5642,0.5642,0.5642,0.0
BNCI2014_001,3,20260721,0.2,0.5642,0.5226,0.4861,0.0417
BNCI2014_001,3,20260721,0.4,0.5642,0.434,0.3854,0.1302
BNCI2014_001,4,20260721,0.0,0.3455,0.3455,0.3455,0.0
BNCI2014_001,4,20260721,0.2,0.3455,0.3542,0.3472,-0.0087
BNCI2014_001,4,20260721,0.4,0.3455,0.2726,0.3351,0.0729
BNCI2014_001,5,20260721,0.0,0.2726,0.2726,0.2726,0.0
BNCI2014_001,5,20260721,0.2,0.2726,0.2483,0.2726,0.0243
BNCI2014_001,5,20260721,0.4,0.2726,0.2882,0.2726,-0.0156
BNCI2014_001,6,20260721,0.0,0.2899,0.2899,0.2899,0.0
BNCI2014_001,6,20260721,0.2,0.2899,0.2865,0.2396,0.0035
BNCI2014_001,6,20260721,0.4,0.2899,0.2674,0.2778,0.0226
BNCI2014_001,7,20260721,0.0,0.2812,0.2812,0.2812,0.0
BNCI2014_001,7,20260721,0.2,0.2812,0.2743,0.2587,0.0069
BNCI2014_001,7,20260721,0.4,0.2812,0.3108,0.2656,-0.0295
BNCI2014_001,8,20260721,0.0,0.5486,0.5486,0.5486,0.0
BNCI2014_001,8,20260721,0.2,0.5486,0.5104,0.434,0.0382
BNCI2014_001,8,20260721,0.4,0.5486,0.4583,0.3316,0.0903
BNCI2014_001,9,20260721,0.0,0.4444,0.4444,0.4444,0.0
BNCI2014_001,9,20260721,0.2,0.4444,0.4167,0.3785,0.0278
BNCI2014_001,9,20260721,0.4,0.4444,0.3611,0.3872,0.0833
