dataset,target_subject,token_seed,gamma,global_Py_delta,achieved_conflict_frac,conflict_fit,conflict_fit_floor,conflict_fit_minus_floor,l5_conflict_train,l5_random_train,l5_shuffle_train_mean,l5_shuffle_train_max,heldin_task_drop_train
BNCI2014_001,1,20260721,0.0,0,0.0,nan,nan,nan,0.009,0.009,0.009,0.009,0.0
BNCI2014_001,1,20260721,0.2,0,0.1997,0.4464,0.0362,0.4101,-0.0122,0.0093,0.0118,0.0405,0.1464
BNCI2014_001,1,20260721,0.4,0,0.3495,0.6829,0.0422,0.6407,-0.0208,0.0061,-0.0422,0.0145,0.3032
BNCI2014_001,2,20260721,0.0,0,0.0,nan,nan,nan,0.0072,0.0072,0.0072,0.0072,0.0
BNCI2014_001,2,20260721,0.2,0,0.1997,0.4884,0.0942,0.3942,0.011,0.0078,-0.0085,0.0041,0.1071
BNCI2014_001,2,20260721,0.4,0,0.3657,0.6764,0.0854,0.591,0.0246,0.0046,-0.0061,0.022,0.2436
BNCI2014_001,3,20260721,0.0,0,0.0,nan,nan,nan,0.0029,0.0029,0.0029,0.0029,0.0
BNCI2014_001,3,20260721,0.2,0,0.1331,0.6239,0.287,0.337,-0.02,0.0038,-0.0043,0.0116,0.0593
BNCI2014_001,3,20260721,0.4,0,0.316,0.6969,0.2518,0.4451,-0.0069,-0.0014,-0.0002,0.0246,0.1207
BNCI2014_001,4,20260721,0.0,0,0.0,nan,nan,nan,0.0069,0.0069,0.0069,0.0069,0.0
BNCI2014_001,4,20260721,0.2,0,0.1331,0.6761,0.1348,0.5413,-0.0133,0.0058,0.0091,0.0327,0.0694
BNCI2014_001,4,20260721,0.4,0,0.3993,0.7435,0.0862,0.6572,-0.0324,0.0029,-0.0065,0.0295,0.248
BNCI2014_001,5,20260721,0.0,0,0.0,nan,nan,nan,0.0055,0.0055,0.0055,0.0055,0.0
BNCI2014_001,5,20260721,0.2,0,0.1997,0.4783,0.1957,0.2826,-0.0058,-0.0014,-0.0003,0.015,0.0677
BNCI2014_001,5,20260721,0.4,0,0.3657,0.6258,0.1646,0.4612,-0.0203,0.002,-0.0241,-0.0032,0.1519
BNCI2014_001,6,20260721,0.0,0,0.0,nan,nan,nan,0.0191,0.0191,0.0191,0.0191,0.0
BNCI2014_001,6,20260721,0.2,0,0.1331,0.4435,0.1457,0.2978,0.0448,0.0145,0.0089,0.0463,0.0668
BNCI2014_001,6,20260721,0.4,0,0.316,0.5998,0.1749,0.4249,0.0243,0.0058,0.0063,0.0544,0.1484
BNCI2014_001,7,20260721,0.0,0,0.0,nan,nan,nan,0.0052,0.0052,0.0052,0.0052,0.0
BNCI2014_001,7,20260721,0.2,0,0.1997,0.5522,0.0971,0.4551,-0.002,0.0035,-0.0232,-0.0012,0.1149
BNCI2014_001,7,20260721,0.4,0,0.3495,0.7889,0.0836,0.7053,-0.048,-0.0041,-0.0078,0.0509,0.2352
BNCI2014_001,8,20260721,0.0,0,0.0,nan,nan,nan,0.0035,0.0035,0.0035,0.0035,0.0
BNCI2014_001,8,20260721,0.2,0,0.1997,0.5609,0.1449,0.4159,0.0214,0.002,0.0035,0.0396,0.0859
BNCI2014_001,8,20260721,0.4,0,0.3495,0.7177,0.1175,0.6002,-0.0281,0.0035,-0.0133,0.048,0.1806
BNCI2014_001,9,20260721,0.0,0,0.0,nan,nan,nan,-0.0043,-0.0043,-0.0043,-0.0043,0.0
BNCI2014_001,9,20260721,0.2,0,0.1331,0.5087,0.1,0.4087,-0.0142,-0.0003,0.0071,0.0174,0.0608
BNCI2014_001,9,20260721,0.4,0,0.3993,0.7145,0.1341,0.5804,-0.0098,0.0107,0.0021,0.0177,0.1884
BNCI2015_001,10,20260721,0.0,0,0.0,nan,nan,nan,0.1134,0.1134,0.1134,0.1134,0.0
BNCI2015_001,10,20260721,0.2,0,0.1474,0.5125,0.2661,0.2464,0.0716,0.0892,0.0531,0.1063,0.0479
BNCI2015_001,10,20260721,0.4,0,0.2947,0.7188,0.2598,0.4589,0.0858,0.0632,0.0246,0.1076,0.1237
BNCI2015_001,11,20260721,0.0,0,0.0,nan,nan,nan,0.0464,0.0464,0.0464,0.0464,0.0
