dataset,target_subject,token_seed,gamma,pt_task_drop_vs_H0,pt_task_drop_vs_shuffle,pt_task_drop_vs_random,pt_l5_conflict,pt_l5_conflict_minus_shuffle,pt_l5_conflict_minus_random,pt_l4_conflict_minus_shuffle,pt_l5_shuffle_max
BNCI2014_001,1,20260721,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0139
BNCI2014_001,1,20260721,0.2,0.059,0.0123,0.0469,0.0104,-0.0083,0.0078,-0.0327,0.0625
BNCI2014_001,1,20260721,0.4,0.0868,-0.029,0.0773,0.0243,0.0554,0.0252,-0.031,-0.0061
BNCI2014_001,2,20260721,0.0,0.0,0.0,0.0,0.0182,0.0,0.0,0.0,0.0182
BNCI2014_001,2,20260721,0.2,0.0564,-0.0071,0.0503,-0.0122,-0.0028,-0.033,0.0007,-0.0026
BNCI2014_001,2,20260721,0.4,0.1024,-0.0208,0.0955,0.0069,0.0024,-0.0069,-0.0355,0.0495
BNCI2014_001,3,20260721,0.0,0.0,0.0,0.0,-0.0043,0.0,0.0,0.0,-0.0043
BNCI2014_001,3,20260721,0.2,0.0434,-0.0005,0.0521,-0.0139,-0.0141,-0.0113,0.0043,0.0122
BNCI2014_001,3,20260721,0.4,0.0712,-0.0292,0.0677,0.0069,0.0069,0.0017,-0.036,0.0234
BNCI2014_001,4,20260721,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0043
BNCI2014_001,4,20260721,0.2,0.0451,-0.0729,0.0321,0.0347,0.0293,0.0295,0.0002,0.0278
BNCI2014_001,4,20260721,0.4,0.1884,0.0125,0.1302,0.0582,0.0222,0.0573,0.0108,0.0833
BNCI2014_001,5,20260721,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0043
BNCI2014_001,5,20260721,0.2,0.0399,-0.0207,0.0243,0.0026,0.0101,-0.0087,-0.002,0.0104
BNCI2014_001,5,20260721,0.4,0.0729,0.0085,0.0252,0.0208,0.001,0.0182,-0.0108,0.0573
BNCI2014_001,6,20260721,0.0,0.0,0.0,0.0,-0.0286,0.0,0.0,0.0,-0.0286
BNCI2014_001,6,20260721,0.2,0.0156,-0.0148,0.0165,-0.0113,-0.0104,0.0226,0.0338,0.0113
BNCI2014_001,6,20260721,0.4,0.0538,-0.0196,0.0469,-0.0425,-0.0458,-0.0321,0.0248,0.0104
BNCI2014_001,7,20260721,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0009
BNCI2014_001,7,20260721,0.2,0.046,-0.022,0.0278,0.0234,0.0498,0.0252,-0.0011,0.0017
BNCI2014_001,7,20260721,0.4,0.1875,0.0668,0.1788,-0.0365,-0.0498,-0.0391,0.015,0.1406
