dataset,target_subject,token_seed,gamma,max_abs_delta_global_Py,n_swaps
BNCI2014_001,1,20260721,0.0,0,0
BNCI2014_001,1,20260721,0.2,0,345
BNCI2014_001,1,20260721,0.4,0,604
BNCI2014_001,2,20260721,0.0,0,0
BNCI2014_001,2,20260721,0.2,0,345
BNCI2014_001,2,20260721,0.4,0,632
BNCI2014_001,3,20260721,0.0,0,0
BNCI2014_001,3,20260721,0.2,0,230
BNCI2014_001,3,20260721,0.4,0,546
BNCI2014_001,4,20260721,0.0,0,0
BNCI2014_001,4,20260721,0.2,0,230
BNCI2014_001,4,20260721,0.4,0,690
BNCI2014_001,5,20260721,0.0,0,0
BNCI2014_001,5,20260721,0.2,0,345
BNCI2014_001,5,20260721,0.4,0,632
BNCI2014_001,6,20260721,0.0,0,0
BNCI2014_001,6,20260721,0.2,0,230
BNCI2014_001,6,20260721,0.4,0,546
BNCI2014_001,7,20260721,0.0,0,0
BNCI2014_001,7,20260721,0.2,0,345
BNCI2014_001,7,20260721,0.4,0,604
BNCI2014_001,8,20260721,0.0,0,0
BNCI2014_001,8,20260721,0.2,0,345
BNCI2014_001,8,20260721,0.4,0,604
BNCI2014_001,9,20260721,0.0,0,0
BNCI2014_001,9,20260721,0.2,0,230
BNCI2014_001,9,20260721,0.4,0,690
BNCI2015_001,10,20260721,0.0,0,0
BNCI2015_001,10,20260721,0.2,0,280
BNCI2015_001,10,20260721,0.4,0,560
BNCI2015_001,11,20260721,0.0,0,0
BNCI2015_001,11,20260721,0.2,0,280
BNCI2015_001,11,20260721,0.4,0,560
BNCI2015_001,12,20260721,0.0,0,0
BNCI2015_001,12,20260721,0.2,0,320
BNCI2015_001,12,20260721,0.4,0,640
BNCI2015_001,1,20260721,0.0,0,0
BNCI2015_001,1,20260721,0.2,0,360
BNCI2015_001,1,20260721,0.4,0,720
BNCI2015_001,2,20260721,0.0,0,0
BNCI2015_001,2,20260721,0.2,0,240
BNCI2015_001,2,20260721,0.4,0,480
BNCI2015_001,3,20260721,0.0,0,0
BNCI2015_001,3,20260721,0.2,0,280
BNCI2015_001,3,20260721,0.4,0,560
BNCI2015_001,4,20260721,0.0,0,0
BNCI2015_001,4,20260721,0.2,0,240
BNCI2015_001,4,20260721,0.4,0,480
BNCI2015_001,5,20260721,0.0,0,0
BNCI2015_001,5,20260721,0.2,0,360
BNCI2015_001,5,20260721,0.4,0,720
BNCI2015_001,6,20260721,0.0,0,0
BNCI2015_001,6,20260721,0.2,0,400
BNCI2015_001,6,20260721,0.4,0,800
BNCI2015_001,7,20260721,0.0,0,0
BNCI2015_001,7,20260721,0.2,0,360
BNCI2015_001,7,20260721,0.4,0,720
BNCI2015_001,8,20260721,0.0,0,0
BNCI2015_001,8,20260721,0.2,0,320
BNCI2015_001,8,20260721,0.4,0,640
BNCI2015_001,9,20260721,0.0,0,0
BNCI2015_001,9,20260721,0.2,0,360
BNCI2015_001,9,20260721,0.4,0,720
BNCI2014_001,1,20260722,0.0,0,0
BNCI2014_001,1,20260722,0.2,0,345
BNCI2014_001,1,20260722,0.4,0,632
BNCI2014_001,2,20260722,0.0,0,0
BNCI2014_001,2,20260722,0.2,0,230
BNCI2014_001,2,20260722,0.4,0,632
BNCI2014_001,3,20260722,0.0,0,0
BNCI2014_001,3,20260722,0.2,0,345
BNCI2014_001,3,20260722,0.4,0,546
BNCI2014_001,4,20260722,0.0,0,0
BNCI2014_001,4,20260722,0.2,0,345
BNCI2014_001,4,20260722,0.4,0,604
BNCI2014_001,5,20260722,0.0,0,0
BNCI2014_001,5,20260722,0.2,0,345
BNCI2014_001,5,20260722,0.4,0,632
BNCI2014_001,6,20260722,0.0,0,0
BNCI2014_001,6,20260722,0.2,0,345
BNCI2014_001,6,20260722,0.4,0,604
BNCI2014_001,7,20260722,0.0,0,0
BNCI2014_001,7,20260722,0.2,0,345
BNCI2014_001,7,20260722,0.4,0,518
BNCI2014_001,8,20260722,0.0,0,0
BNCI2014_001,8,20260722,0.2,0,345
