dataset,target_subject,token_seed,gamma,c_d,n_swaps,achieved_conflict_frac,global_Py_delta,shuffle_nsw_mean
BNCI2014_001,1,20260721,0.0,"{1: 1, 3: 3, 4: 0, 5: 1, 6: 2, 7: 3}",0,0.0,0,0.0
BNCI2014_001,1,20260721,0.2,"{1: 1, 3: 3, 4: 0, 5: 1, 6: 2, 7: 3}",345,0.1997,0,322.0
BNCI2014_001,1,20260721,0.4,"{1: 1, 3: 3, 4: 0, 5: 1, 6: 2, 7: 3}",604,0.3495,0,620.8
BNCI2014_001,2,20260721,0.0,"{0: 0, 1: 1, 3: 3, 4: 0, 5: 1, 7: 3}",0,0.0,0,0.0
BNCI2014_001,2,20260721,0.2,"{0: 0, 1: 1, 3: 3, 4: 0, 5: 1, 7: 3}",345,0.1997,0,322.0
BNCI2014_001,2,20260721,0.4,"{0: 0, 1: 1, 3: 3, 4: 0, 5: 1, 7: 3}",632,0.3657,0,690.0
BNCI2014_001,3,20260721,0.0,"{1: 1, 2: 2, 4: 0, 5: 1, 6: 2, 7: 3}",0,0.0,0,0.0
BNCI2014_001,3,20260721,0.2,"{1: 1, 2: 2, 4: 0, 5: 1, 6: 2, 7: 3}",230,0.1331,0,322.0
BNCI2014_001,3,20260721,0.4,"{1: 1, 2: 2, 4: 0, 5: 1, 6: 2, 7: 3}",546,0.316,0,644.0
BNCI2014_001,4,20260721,0.0,"{0: 0, 1: 1, 3: 3, 4: 0, 5: 1, 7: 3}",0,0.0,0,0.0
BNCI2014_001,4,20260721,0.2,"{0: 0, 1: 1, 3: 3, 4: 0, 5: 1, 7: 3}",230,0.1331,0,299.0
BNCI2014_001,4,20260721,0.4,"{0: 0, 1: 1, 3: 3, 4: 0, 5: 1, 7: 3}",690,0.3993,0,678.4
BNCI2014_001,5,20260721,0.0,"{0: 0, 2: 2, 3: 3, 4: 0, 5: 1, 7: 3}",0,0.0,0,0.0
BNCI2014_001,5,20260721,0.2,"{0: 0, 2: 2, 3: 3, 4: 0, 5: 1, 7: 3}",345,0.1997,0,345.0
BNCI2014_001,5,20260721,0.4,"{0: 0, 2: 2, 3: 3, 4: 0, 5: 1, 7: 3}",632,0.3657,0,626.8
BNCI2014_001,6,20260721,0.0,"{0: 0, 1: 1, 2: 2, 5: 1, 6: 2, 7: 3}",0,0.0,0,0.0
BNCI2014_001,6,20260721,0.2,"{0: 0, 1: 1, 2: 2, 5: 1, 6: 2, 7: 3}",230,0.1331,0,345.0
BNCI2014_001,6,20260721,0.4,"{0: 0, 1: 1, 2: 2, 5: 1, 6: 2, 7: 3}",546,0.316,0,621.2
BNCI2014_001,7,20260721,0.0,"{1: 1, 2: 2, 3: 3, 4: 0, 6: 2, 7: 3}",0,0.0,0,0.0
BNCI2014_001,7,20260721,0.2,"{1: 1, 2: 2, 3: 3, 4: 0, 6: 2, 7: 3}",345,0.1997,0,322.0
BNCI2014_001,7,20260721,0.4,"{1: 1, 2: 2, 3: 3, 4: 0, 6: 2, 7: 3}",604,0.3495,0,620.8
BNCI2014_001,8,20260721,0.0,"{2: 2, 3: 3, 4: 0, 5: 1, 6: 2, 7: 3}",0,0.0,0,0.0
BNCI2014_001,8,20260721,0.2,"{2: 2, 3: 3, 4: 0, 5: 1, 6: 2, 7: 3}",345,0.1997,0,322.0
