dataset,target_subject,token_seed,gamma,H0_tgt,Hconflict_tgt,E4_tgt,E4b_tgt,ERASE_tgt,Hreg_tgt
BNCI2014_001,1,20260721,0.4,0.4826,0.3958,0.3628,0.3802,0.4462,0.4219
BNCI2014_001,2,20260721,0.4,0.2569,0.2708,0.2656,0.2691,0.2778,0.2622
BNCI2014_001,3,20260721,0.4,0.5642,0.434,0.467,0.4236,0.3924,0.3594
BNCI2014_001,4,20260721,0.4,0.3455,0.2726,0.2882,0.2865,0.2899,0.2517
BNCI2014_001,5,20260721,0.4,0.2726,0.2882,0.283,0.2882,0.2674,0.2674
BNCI2014_001,6,20260721,0.4,0.2899,0.2674,0.276,0.2691,0.2882,0.2326
BNCI2014_001,7,20260721,0.4,0.2812,0.3108,0.3212,0.3177,0.2795,0.2517
BNCI2014_001,8,20260721,0.4,0.5486,0.4583,0.4878,0.4549,0.4236,0.4427
BNCI2014_001,9,20260721,0.4,0.4444,0.3611,0.3941,0.3611,0.3455,0.3611
BNCI2015_001,10,20260721,0.4,0.6033,0.6,0.5867,0.6017,0.5133,0.58
BNCI2015_001,11,20260721,0.4,0.5183,0.4683,0.435,0.4733,0.4933,0.4633
BNCI2015_001,12,20260721,0.4,0.535,0.4925,0.51,0.4925,0.5175,0.495
BNCI2015_001,1,20260721,0.4,0.635,0.76,0.765,0.7475,0.6525,0.6875
BNCI2015_001,2,20260721,0.4,0.795,0.685,0.84,0.6475,0.4675,0.8
BNCI2015_001,3,20260721,0.4,0.515,0.5675,0.7275,0.54,0.635,0.57
BNCI2015_001,4,20260721,0.4,0.7975,0.5775,0.6025,0.575,0.585,0.705
BNCI2015_001,5,20260721,0.4,0.735,0.615,0.5975,0.6075,0.545,0.4575
BNCI2015_001,6,20260721,0.4,0.6425,0.555,0.575,0.5575,0.595,0.6125
BNCI2015_001,7,20260721,0.4,0.545,0.4575,0.4525,0.4525,0.4375,0.4425
BNCI2015_001,8,20260721,0.4,0.5583,0.4617,0.4517,0.46,0.49,0.4833
BNCI2015_001,9,20260721,0.4,0.6383,0.53,0.5733,0.53,0.5317,0.5483
BNCI2014_001,1,20260722,0.4,0.4757,0.3247,0.3438,0.3212,0.4149,0.4028
BNCI2014_001,2,20260722,0.4,0.2517,0.2656,0.2674,0.2552,0.2865,0.2569
BNCI2014_001,3,20260722,0.4,0.5747,0.467,0.4705,0.4392,0.441,0.3611
BNCI2014_001,4,20260722,0.4,0.3455,0.2587,0.3021,0.2639,0.2847,0.2778
BNCI2014_001,5,20260722,0.4,0.2743,0.2535,0.2847,0.2552,0.2396,0.2587
BNCI2014_001,6,20260722,0.4,0.2865,0.2413,0.2986,0.2396,0.2882,0.2344
BNCI2014_001,7,20260722,0.4,0.2795,0.3073,0.2899,0.3021,0.276,0.2812
BNCI2014_001,8,20260722,0.4,0.5469,0.4288,0.4653,0.4115,0.4236,0.3976
BNCI2014_001,9,20260722,0.4,0.4444,0.3681,0.4497,0.3576,0.3524,0.3837
BNCI2015_001,10,20260722,0.4,0.5967,0.575,0.575,0.5783,0.525,0.5383
BNCI2015_001,11,20260722,0.4,0.5217,0.4833,0.4367,0.4883,0.51,0.4767
BNCI2015_001,12,20260722,0.4,0.5375,0.505,0.4925,0.5,0.5025,0.5
BNCI2015_001,1,20260722,0.4,0.6275,0.6925,0.7275,0.685,0.5975,0.5925
BNCI2015_001,2,20260722,0.4,0.785,0.5875,0.805,0.5725,0.4525,0.7475
BNCI2015_001,3,20260722,0.4,0.5175,0.55,0.745,0.5275,0.655,0.53
BNCI2015_001,4,20260722,0.4,0.795,0.5375,0.585,0.5375,0.5875,0.4825
BNCI2015_001,5,20260722,0.4,0.74,0.6275,0.63,0.635,0.6075,0.4875
BNCI2015_001,6,20260722,0.4,0.64,0.5675,0.5575,0.565,0.6,0.595
BNCI2015_001,7,20260722,0.4,0.5475,0.485,0.4925,0.485,0.4575,0.43
BNCI2015_001,8,20260722,0.4,0.5517,0.4667,0.47,0.465,0.4867,0.4833
BNCI2015_001,9,20260722,0.4,0.6317,0.5633,0.5833,0.56,0.5433,0.5033
BNCI2014_001,1,20260723,0.4,0.4809,0.349,0.4167,0.3403,0.4392,0.4878
BNCI2014_001,2,20260723,0.4,0.2535,0.2847,0.2917,0.2865,0.2847,0.2778
BNCI2014_001,3,20260723,0.4,0.559,0.4688,0.4965,0.4601,0.4323,0.4028
BNCI2014_001,4,20260723,0.4,0.342,0.3212,0.3333,0.3142,0.3299,0.2917
BNCI2014_001,5,20260723,0.4,0.2691,0.2465,0.2691,0.2483,0.2656,0.2569
BNCI2014_001,6,20260723,0.4,0.2899,0.25,0.2969,0.2517,0.2934,0.2205
BNCI2014_001,7,20260723,0.4,0.2865,0.2587,0.2778,0.2569,0.2708,0.2483
BNCI2014_001,8,20260723,0.4,0.5538,0.4566,0.5295,0.4358,0.4549,0.4358
BNCI2014_001,9,20260723,0.4,0.4444,0.3941,0.3872,0.3715,0.3889,0.3698
BNCI2015_001,10,20260723,0.4,0.6017,0.575,0.5783,0.5767,0.5167,0.57
BNCI2015_001,11,20260723,0.4,0.525,0.4867,0.4417,0.485,0.505,0.4983
BNCI2015_001,12,20260723,0.4,0.5375,0.485,0.5,0.49,0.495,0.4975
BNCI2015_001,1,20260723,0.4,0.64,0.7125,0.7275,0.6975,0.5975,0.6325
BNCI2015_001,2,20260723,0.4,0.785,0.6075,0.8075,0.58,0.46,0.7175
BNCI2015_001,3,20260723,0.4,0.5175,0.555,0.76,0.5275,0.655,0.5775
BNCI2015_001,4,20260723,0.4,0.7975,0.555,0.5825,0.555,0.6125,0.685
BNCI2015_001,5,20260723,0.4,0.7425,0.615,0.6175,0.6125,0.57,0.45
BNCI2015_001,6,20260723,0.4,0.635,0.525,0.5575,0.5175,0.5725,0.585
BNCI2015_001,7,20260723,0.4,0.555,0.4625,0.46,0.46,0.445,0.465
BNCI2015_001,8,20260723,0.4,0.5533,0.4667,0.4783,0.4733,0.4617,0.4817
