dataset,target_subject,token_seed,rho,subj_decode_bacc,chance,subj_decodable,py_match_max,n_rows_kept_frac,kish_eff_n_frac,n_subj_diversity,l4_head_subj_align,l5_heldin_reliance,l5_minus_H0,cd_pred_rate,cd_pred_rate_minus_H0,reweight_task_bacc,reweight_task_drop,poscontrol_corrupt_task_bacc,poscontrol_corrupt_task_drop,poscontrol_corrupt_cd_minus_H0
BNCI2014_001,1,20260721,0.0,0.928,0.125,True,0.0,1.0,1.0,6,0.0484,-0.0017,0.0,0.3351,0.0,0.4974,0.0,0.4974,0.0,0.0
BNCI2014_001,1,20260721,0.5,0.928,0.125,True,0.0,1.0,0.7597,6,0.0262,-0.0035,-0.0017,0.3429,0.0078,0.4809,0.0165,0.4054,0.092,-0.0616
BNCI2014_001,1,20260721,0.8,0.928,0.125,True,0.0,1.0,0.3754,6,0.0426,-0.0069,-0.0052,0.3446,0.0095,0.4731,0.0243,0.2917,0.2057,-0.0955
BNCI2014_001,1,20260722,0.0,0.928,0.125,True,0.0,1.0,1.0,6,0.0505,-0.0,0.0,0.3299,0.0,0.4965,0.0,0.4965,0.0,0.0
BNCI2014_001,1,20260722,0.5,0.928,0.125,True,0.0,1.0,0.7597,6,0.0323,-0.0104,-0.0104,0.3333,0.0035,0.4809,0.0156,0.4071,0.0894,-0.072
BNCI2014_001,1,20260722,0.8,0.928,0.125,True,0.0,1.0,0.3754,6,0.0359,-0.0087,-0.0087,0.3359,0.0061,0.4722,0.0243,0.3073,0.1892,-0.1354
BNCI2014_001,1,20260723,0.0,0.928,0.125,True,0.0,1.0,1.0,6,0.0258,-0.0009,0.0,0.2925,0.0,0.7717,0.0,0.7717,0.0,0.0
BNCI2014_001,1,20260723,0.5,0.928,0.125,True,0.0,1.0,0.8065,6,0.0614,0.0,0.0009,0.3021,0.0095,0.7465,0.0252,0.5339,0.2378,-0.1562
BNCI2014_001,1,20260723,0.8,0.928,0.125,True,0.0,1.0,0.5192,6,0.0957,0.0122,0.013,0.3342,0.0417,0.6701,0.1016,0.3038,0.4679,-0.2743
BNCI2014_001,1,20260724,0.0,0.928,0.125,True,0.0,1.0,1.0,6,0.0517,0.0026,0.0,0.1944,0.0,0.4948,0.0,0.4948,0.0,0.0
BNCI2014_001,1,20260724,0.5,0.928,0.125,True,0.0,1.0,0.7597,6,0.0358,0.0017,-0.0009,0.1979,0.0035,0.4878,0.0069,0.3767,0.1181,-0.0642
BNCI2014_001,1,20260724,0.8,0.928,0.125,True,0.0,1.0,0.3754,6,0.0446,-0.0035,-0.0061,0.184,-0.0104,0.4731,0.0217,0.2682,0.2266,-0.1215
BNCI2014_001,1,20260725,0.0,0.928,0.125,True,0.0,1.0,1.0,6,0.0507,0.0061,0.0,0.3177,0.0,0.7682,0.0,0.7682,0.0,0.0
BNCI2014_001,1,20260725,0.5,0.928,0.125,True,0.0,1.0,0.7597,6,0.0364,0.0052,-0.0009,0.3229,0.0052,0.7483,0.02,0.5859,0.1823,-0.0833
BNCI2014_001,1,20260725,0.8,0.928,0.125,True,0.0,1.0,0.3754,6,0.0615,0.013,0.0069,0.3325,0.0148,0.6719,0.0964,0.3872,0.3811,-0.1406
