dataset,target_subject,token_seed,rho,py_match_max,n_rows_kept_frac,kish_eff_n_frac,n_subj_diversity
BNCI2014_001,1,20260721,0.0,0.0,1.0,1.0,6
BNCI2014_001,1,20260721,0.5,0.0,1.0,0.7597,6
BNCI2014_001,1,20260721,0.8,0.0,1.0,0.3754,6
BNCI2014_001,1,20260722,0.0,0.0,1.0,1.0,6
BNCI2014_001,1,20260722,0.5,0.0,1.0,0.7597,6
BNCI2014_001,1,20260722,0.8,0.0,1.0,0.3754,6
BNCI2014_001,1,20260723,0.0,0.0,1.0,1.0,6
BNCI2014_001,1,20260723,0.5,0.0,1.0,0.8065,6
BNCI2014_001,1,20260723,0.8,0.0,1.0,0.5192,6
BNCI2014_001,1,20260724,0.0,0.0,1.0,1.0,6
BNCI2014_001,1,20260724,0.5,0.0,1.0,0.7597,6
BNCI2014_001,1,20260724,0.8,0.0,1.0,0.3754,6
BNCI2014_001,1,20260725,0.0,0.0,1.0,1.0,6
BNCI2014_001,1,20260725,0.5,0.0,1.0,0.7597,6
BNCI2014_001,1,20260725,0.8,0.0,1.0,0.3754,6
BNCI2014_001,1,20260726,0.0,0.0,1.0,1.0,6
BNCI2014_001,1,20260726,0.5,0.0,1.0,0.8065,6
BNCI2014_001,1,20260726,0.8,0.0,1.0,0.5192,6
BNCI2014_001,1,20260727,0.0,0.0,1.0,1.0,6
BNCI2014_001,1,20260727,0.5,0.0,1.0,0.7597,6
BNCI2014_001,1,20260727,0.8,0.0,1.0,0.3754,6
BNCI2014_001,1,20260728,0.0,0.0,1.0,1.0,6
BNCI2014_001,1,20260728,0.5,0.0,1.0,0.7597,6
BNCI2014_001,1,20260728,0.8,0.0,1.0,0.3754,6
BNCI2014_001,2,20260721,0.0,0.0,1.0,1.0,6
BNCI2014_001,2,20260721,0.5,0.0,1.0,0.8065,6
BNCI2014_001,2,20260721,0.8,0.0,1.0,0.5192,6
BNCI2014_001,2,20260722,0.0,0.0,1.0,1.0,6
BNCI2014_001,2,20260722,0.5,0.0,1.0,0.7597,6
BNCI2014_001,2,20260722,0.8,0.0,1.0,0.3754,6
BNCI2014_001,2,20260723,0.0,0.0,1.0,1.0,6
BNCI2014_001,2,20260723,0.5,0.0,1.0,0.7597,6
BNCI2014_001,2,20260723,0.8,0.0,1.0,0.3754,6
BNCI2014_001,2,20260724,0.0,0.0,1.0,1.0,6
BNCI2014_001,2,20260724,0.5,0.0,1.0,0.7597,6
BNCI2014_001,2,20260724,0.8,0.0,1.0,0.3754,6
BNCI2014_001,2,20260725,0.0,0.0,1.0,1.0,6
BNCI2014_001,2,20260725,0.5,0.0,1.0,0.7597,6
BNCI2014_001,2,20260725,0.8,0.0,1.0,0.3754,6
BNCI2014_001,2,20260726,0.0,0.0,1.0,1.0,6
BNCI2014_001,2,20260726,0.5,0.0,1.0,0.8065,6
BNCI2014_001,2,20260726,0.8,0.0,1.0,0.5192,6
BNCI2014_001,2,20260727,0.0,0.0,1.0,1.0,6
BNCI2014_001,2,20260727,0.5,0.0,1.0,0.7597,6
BNCI2014_001,2,20260727,0.8,0.0,1.0,0.3754,6
BNCI2014_001,2,20260728,0.0,0.0,1.0,1.0,6
BNCI2014_001,2,20260728,0.5,0.0,1.0,0.7597,6
BNCI2014_001,2,20260728,0.8,0.0,1.0,0.3754,6
BNCI2014_001,3,20260721,0.0,0.0,1.0,1.0,6
BNCI2014_001,3,20260721,0.5,0.0,1.0,0.7597,6
BNCI2014_001,3,20260721,0.8,0.0,1.0,0.3754,6
BNCI2014_001,3,20260722,0.0,0.0,1.0,1.0,6
BNCI2014_001,3,20260722,0.5,0.0,1.0,0.7597,6
BNCI2014_001,3,20260722,0.8,0.0,1.0,0.3754,6
BNCI2014_001,3,20260723,0.0,0.0,1.0,1.0,6
BNCI2014_001,3,20260723,0.5,0.0,1.0,0.7597,6
BNCI2014_001,3,20260723,0.8,0.0,1.0,0.3754,6
BNCI2014_001,3,20260724,0.0,0.0,1.0,1.0,6
BNCI2014_001,3,20260724,0.5,0.0,1.0,0.7597,6
BNCI2014_001,3,20260724,0.8,0.0,1.0,0.3754,6
BNCI2014_001,3,20260725,0.0,0.0,1.0,1.0,6
BNCI2014_001,3,20260725,0.5,0.0,1.0,0.7597,6
BNCI2014_001,3,20260725,0.8,0.0,1.0,0.3754,6
BNCI2014_001,3,20260726,0.0,0.0,1.0,1.0,6
