backbone,method,dtgt_bacc,dtgt_bacc_lo,dtgt_bacc_hi,dtgt_nll,dtgt_nll_lo,dtgt_nll_hi,improves_target
TSMNet,TOS_VD,-0.00012345679012345552,-0.0008024691358024651,0.0005555555555555506,0.03150711357572226,0.0255724077523594,0.03829062617794155,False
TSMNet,LEACE,-0.001697530864197531,-0.0034876543209876546,9.336419753086465e-05,-0.036053610314705165,-0.0536254408065036,-0.019921626238357033,True
TSMNet,RLACE,-0.0031172839506172847,-0.006327932098765429,-9.259259259258855e-05,-1.1922620295229711,-1.3722706739314519,-1.0355408495732912,True
TSMNet,INLP,-0.15388888888888888,-0.18061882716049382,-0.12706404320987658,-1.9424893077074168,-2.26687179244948,-1.6383184115459555,True
TSMNet,random_k,4.629629629628126e-05,-0.0013195408950617323,0.0014892939814814712,-0.4959474546729356,-0.558424052579181,-0.43223793912146224,True
EEGNet,TOS_VD,-0.0005246913580246918,-0.0017908950617284013,0.0007098765432098792,0.002227936261258039,0.001050144703799616,0.0035120026313760627,False
EEGNet,LEACE,-0.18546296296296297,-0.22025231481481478,-0.15191203703703704,0.054457360157077014,-0.015531877404415341,0.12268417422222475,False
EEGNet,RLACE,-0.18546296296296297,-0.2189814814814815,-0.15045447530864203,0.054457360157077014,-0.012613056407566934,0.12414685709162815,False
EEGNet,INLP,-0.18546296296296297,-0.21997145061728393,-0.15160185185185182,0.054457360157077014,-0.014580069549987843,0.12485452785272713,False
EEGNet,random_k,-0.007233796296296294,-0.01013898533950618,-0.004705922067901242,-0.006179216275839425,-0.017211496895614853,0.002635401151005695,False
