tag,checkpoint,budget_h,seed,reference,checkpoint_exists,checkpoint_selection,h2000_included,immutable_checkpoint,checkpoint_sha256,checkpoint_epoch,pretrain_best_val_loss
random,random,,,True,True,reference,False,,,,
released,/home/infres/yinwang/eeg2025/NIPS/Cbramod_pretrained_weights.pth,,,True,True,reference,False,,,,
H200_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H200_s0/best.pth,200.0,0,False,True,pretrain_val_loss_only,False,,,,
H200_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H200_s1/best.pth,200.0,1,False,True,pretrain_val_loss_only,False,,,,
H500_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H500_s0/best.pth,500.0,0,False,True,pretrain_val_loss_only,False,,,,
H500_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H500_s1/best.pth,500.0,1,False,True,pretrain_val_loss_only,False,,,,
H1000_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H1000_s0/best.pth,1000.0,0,False,True,pretrain_val_loss_only,False,,,,
H1000_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H1000_s1/best.pth,1000.0,1,False,True,pretrain_val_loss_only,False,,,,
H2000_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1_immutable/H2000_s0/best.pth,2000.0,0,False,True,pretrain_val_loss_only,True,True,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,48,0.21505366607258716
H2000_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1_immutable/H2000_s1/best.pth,2000.0,1,False,True,pretrain_val_loss_only,True,True,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,49,0.21282545011490583
