scope,tag,budget_h,seed,metric,n_test_subject_clusters,bootstrap_reps,point,ci95_low,ci95_high,bootstrap_sd
checkpoint,random,,,kappa,23,5000,0.028536834853766978,0.008097861964618596,0.04854326666047394,0.0102800966474203
checkpoint,random,,,bacc,23,5000,0.13714439076757917,0.11889425657541601,0.15499194847020933,0.009166375486028286
checkpoint,random,,,weighted_f1,23,5000,0.13858800894997034,0.11987289906500319,0.156486822065407,0.00936116468490991
checkpoint,released,,,kappa,23,5000,0.07547169811320756,0.05365786892436913,0.0990503295619452,0.01174205496310641
checkpoint,released,,,bacc,23,5000,0.17632850241545894,0.15646470746108423,0.1977992485238862,0.010662935080009213
checkpoint,released,,,weighted_f1,23,5000,0.17400056410347212,0.15312134779076056,0.1934299163898624,0.010318607792952282
checkpoint,H200_s0,200.0,0,kappa,23,5000,0.036236119228521345,0.020266292829578883,0.0528869284118539,0.008417956016054919
checkpoint,H200_s0,200.0,0,bacc,23,5000,0.14371980676328502,0.12909286097691897,0.15874932903918412,0.007659348735930975
checkpoint,H200_s0,200.0,0,weighted_f1,23,5000,0.1405248605501064,0.12523145153083576,0.1547270408679536,0.00757077084758516
checkpoint,H200_s1,200.0,1,kappa,23,5000,0.04827125438449975,0.027051379665096006,0.0717219738919564,0.011352092303232555
checkpoint,H200_s1,200.0,1,bacc,23,5000,0.15405260332796566,0.1358024691358025,0.1741847826086956,0.009690361580859824
checkpoint,H200_s1,200.0,1,weighted_f1,23,5000,0.15236141723112978,0.13303907628635125,0.17182839094520694,0.00977104755342842
checkpoint,H500_s0,500.0,0,kappa,23,5000,0.07737311686412168,0.053203481904375446,0.1010350627724147,0.012165056462008429
checkpoint,H500_s0,500.0,0,bacc,23,5000,0.17887815351583466,0.15754159957058506,0.1998121309715513,0.010846513147094308
checkpoint,H500_s0,500.0,0,weighted_f1,23,5000,0.17597144074345872,0.15405363433547456,0.19597513181608175,0.010732092226281216
checkpoint,H500_s1,500.0,1,kappa,23,5000,0.0673285499749708,0.04713859736925852,0.08917923944235268,0.010633511861688164
checkpoint,H500_s1,500.0,1,bacc,23,5000,0.1705582393988191,0.15257313472893183,0.18974771873322596,0.009484462496377567
checkpoint,H500_s1,500.0,1,weighted_f1,23,5000,0.1719625229540486,0.15244258707911568,0.1903434532483332,0.009550939253097501
checkpoint,H1000_s0,1000.0,0,kappa,23,5000,0.06453973364554369,0.03855360886953878,0.08961181669491725,0.012935694126433693
checkpoint,H1000_s0,1000.0,0,bacc,23,5000,0.1668008588298443,0.1447933440687064,0.18800322061191627,0.010966005470776108
checkpoint,H1000_s0,1000.0,0,weighted_f1,23,5000,0.16550973268802785,0.14376253832010258,0.1844325360137907,0.010327909968925365
checkpoint,H1000_s1,1000.0,1,kappa,23,5000,0.07011285645743372,0.0474917108506601,0.09340804702191438,0.01181554021768413
checkpoint,H1000_s1,1000.0,1,bacc,23,5000,0.1737788513150832,0.15324745034889964,0.19511876006441223,0.010734258165269902
checkpoint,H1000_s1,1000.0,1,weighted_f1,23,5000,0.16958189477605892,0.1488353019437285,0.18856799955573383,0.010414814485743811
budget_seed_mean,H200_mean,200,mean_0_1,kappa,23,5000,0.04225368680651055,0.02635812570805394,0.05891385218585693,0.008296655461345516
budget_seed_mean,H200_mean,200,mean_0_1,bacc,23,5000,0.14888620504562533,0.13493022007514763,0.16358024691358025,0.007238745743233226
budget_seed_mean,H200_mean,200,mean_0_1,weighted_f1,23,5000,0.1464431388906181,0.13157752866283629,0.15985959529948424,0.0071917300540558105
budget_seed_mean,H500_mean,500,mean_0_1,kappa,23,5000,0.07235083341954623,0.05519742871628585,0.09111634386564423,0.009090752277333332
budget_seed_mean,H500_mean,500,mean_0_1,bacc,23,5000,0.1747181964573269,0.15982286634460546,0.19135802469135801,0.008011946691592052
budget_seed_mean,H500_mean,500,mean_0_1,weighted_f1,23,5000,0.17396698184875364,0.1574726121954578,0.1896955148857787,0.008187952985148243
budget_seed_mean,H1000_mean,1000,mean_0_1,kappa,23,5000,0.06732629505148871,0.04566974218156284,0.08934206916969584,0.011218452155944598
budget_seed_mean,H1000_mean,1000,mean_0_1,bacc,23,5000,0.17028985507246375,0.15150295222758992,0.1894139157273215,0.009735810048201218
budget_seed_mean,H1000_mean,1000,mean_0_1,weighted_f1,23,5000,0.16754581373204339,0.14869505378741568,0.18440533317396743,0.00919822428728347
