tag,budget_h,seed,task_gate_pass,l4_l5_l6_status,l6_target_kappa_base,l6_target_kappa_subject_removed,l6_target_bacc_base,l6_target_bacc_subject_removed,l6_target_weighted_f1_base,l6_target_weighted_f1_subject_removed
random,,,,REFERENCE,0.0285368348537669,0.028160174065860466,0.13714439076757917,0.13593666129898013,0.13858800894997034,0.13642423412946136
released,,,True,REFERENCE,0.07547169811320742,0.06522465341573402,0.17632850241545894,0.16760601180891033,0.17400056410347212,0.16568089427718602
H200_s0,200.0,0,True,PASS,0.036236119228521324,0.03845591460739861,0.14371980676328502,0.14546430488459475,0.1405248605501064,0.1431502441560198
H200_s1,200.0,1,True,PASS,0.04827125438449964,0.05094662933088134,0.15405260332796566,0.15526033279656468,0.15236141723112978,0.15272977625277911
H500_s0,500.0,0,True,PASS,0.07737311686412174,0.07882030809104779,0.17887815351583466,0.1802200751476114,0.17597144074345872,0.17658121035335833
H500_s1,500.0,1,True,PASS,0.06732854997497073,0.06991883489473572,0.1705582393988191,0.17270531400966185,0.1719625229540486,0.17300381762924047
H1000_s0,1000.0,0,True,PASS,0.06453973364554366,0.06549560853199488,0.1668008588298443,0.16760601180891033,0.16550973268802785,0.16657258791611454
H1000_s1,1000.0,1,True,PASS,0.0701128564574337,0.06919866444073464,0.1737788513150832,0.17297369833601717,0.16958189477605892,0.168717438149926
H2000_s0,2000.0,0,True,PASS,0.07780234449960377,0.08196721311475397,0.17954911433172305,0.18344068706387548,0.1752720356136419,0.17873622736926204
H2000_s1,2000.0,1,True,PASS,0.08005931867076044,0.07849729571700048,0.1806226516371444,0.17860976918947935,0.17827375122140526,0.17598780822219234
