dataset,split,subject,n_segments,min_item_index,max_item_index,label_counts_json
FACED,source_train,1,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,2,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,3,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,4,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,5,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,6,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,7,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,8,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,9,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,10,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,11,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,12,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,13,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
FACED,source_train,14,84,0,83,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 12, ""5"": 9, ""6"": 9, ""7"": 9, ""8"": 9}"
