scope,budget_h,metric,reference,floor_margin,point_crosses_random_plus_0p02,bootstrap_probability_delta_positive,bootstrap_probability_delta_ge_0p02,single_released_checkpoint_descriptive,delta_point,delta_ci95_low,delta_ci95_high,delta_bootstrap_sd,tag,seed
budget_seed_mean,200,kappa,random,0.02,False,0.9278,0.2622,False,0.013716851952743574,-0.004515215313856502,0.03195447394049694,0.009481526176497002,,
budget_seed_mean,200,bacc,random,0.02,False,0.9156,0.1768,False,0.011741814278046159,-0.004830917874396157,0.028314546430488433,0.008566887286857281,,
budget_seed_mean,200,kappa,released,,,0.0002,,True,-0.03321801130669701,-0.05450131007113351,-0.013409248017138942,0.010397287121085313,,
budget_seed_mean,200,bacc,released,,,0.0006,,True,-0.027442297369833613,-0.047101449275362306,-0.010129830917874384,0.009396341631423553,,
budget_seed_mean,500,kappa,random,0.02,True,0.9984,0.948,False,0.04381399856577926,0.01482088540097948,0.07183006565593177,0.014552093758138726,,
budget_seed_mean,500,bacc,random,0.02,True,0.9978,0.9094,False,0.03757380568974772,0.011473429951690789,0.06280528717122914,0.013104668999417987,,
budget_seed_mean,500,kappa,released,,,0.3722,,True,-0.003120864693661324,-0.022222007028022486,0.015394107625153095,0.009579516573580651,,
budget_seed_mean,500,bacc,released,,,0.426,,True,-0.0016103059581320522,-0.01905696457326892,0.01563338701019859,0.008819059955981036,,
budget_seed_mean,1000,kappa,random,0.02,True,0.997,0.9092,False,0.03878946019772173,0.010967222190992016,0.0650719246231407,0.013808807854689787,,
budget_seed_mean,1000,bacc,random,0.02,True,0.996,0.8528,False,0.033145464304884575,0.008383655394524943,0.05629864465915183,0.012435589929246498,,
budget_seed_mean,1000,kappa,released,,,0.2608,,True,-0.008145403061718848,-0.03387072317653163,0.013673451933741535,0.01221931778528188,,
budget_seed_mean,1000,bacc,released,,,0.3082,,True,-0.006038647342995196,-0.0293226650563607,0.013823470209339756,0.011110357252301058,,
checkpoint,200,kappa,random,0.02,False,0.7578,0.135,False,0.007699284374754367,-0.01377700932751165,0.029734534634288542,0.010961425042862781,H200_s0,0
checkpoint,200,bacc,random,0.02,False,0.739,0.0912,False,0.006575415995705852,-0.013150831991411677,0.026570048309178723,0.010068859501801418,H200_s0,0
checkpoint,200,kappa,random,0.02,False,0.9664,0.4942,False,0.019734419530732773,-0.0015934773990659784,0.04185355726728961,0.011032172848613945,H200_s1,1
checkpoint,200,bacc,random,0.02,False,0.9624,0.3778,False,0.016908212560386493,-0.0016103059581320245,0.03650026838432634,0.00965251442166622,H200_s1,1
checkpoint,500,kappa,random,0.02,True,0.997,0.9444,False,0.048836282010354705,0.012918947684838365,0.0848869691987171,0.01802358502620757,H500_s0,0
checkpoint,500,bacc,random,0.02,True,0.9956,0.911,False,0.04173376274825549,0.00912506709608163,0.07420826623725173,0.016315790357222356,H500_s0,0
checkpoint,500,kappa,random,0.02,True,0.995,0.9118,False,0.03879171512120382,0.009953609174040028,0.06479278745709362,0.013944671656056302,H500_s1,1
checkpoint,500,bacc,random,0.02,True,0.9942,0.8598,False,0.03341384863123992,0.007779790660225397,0.05689747718733226,0.012509155883001874,H500_s1,1
checkpoint,1000,kappa,random,0.02,True,0.9856,0.8402,False,0.03600289879177671,0.003911144468389076,0.06623326217709716,0.015871637431708562,H1000_s0,0
checkpoint,1000,bacc,random,0.02,True,0.9792,0.7552,False,0.02965646806226513,0.0013419216317766824,0.05662909286097691,0.01414534510805214,H1000_s0,0
checkpoint,1000,kappa,random,0.02,True,0.9988,0.9408,False,0.04157602160366674,0.014736504641769047,0.0679534535908594,0.013590044502863066,H1000_s1,1
checkpoint,1000,bacc,random,0.02,True,0.9988,0.9094,False,0.03663446054750402,0.012345679012345732,0.06105743424584004,0.012454018841534756,H1000_s1,1
