tag,budget_h,seed,task_gate_pass,subject_delta_kappa,null_delta_kappa_mean,subject_minus_null_kappa,empirical_one_sided_p_kappa,subject_delta_bacc,null_delta_bacc_mean,subject_minus_null_bacc,empirical_one_sided_p_bacc,n_variance_matched_nulls,null_control,subject_source_val_removed_variance_frac,subject_target_removed_variance_frac,null_source_val_removed_variance_frac_mean,null_source_val_match_abs_error_max,null_target_removed_variance_frac_mean,null_effective_rank_mean,null_effective_rank_min,null_effective_rank_max,historical_rank50_null_kappa_mean_diff,historical_rank50_null_bacc_mean_diff
random,,,,-0.00020913778107129258,0.0021410890261135637,-0.0023502268071848562,0.6268656716417911,0.0006709608158883551,0.0022282608695652086,-0.0015573000536768535,0.6019900497512438,200,source_val_energy_matched_random_orthobasis_partial_last_direction,0.1630929708480835,0.14991897344589233,0.1630929708480835,1.6653345369377348e-16,0.16299947527558564,10.96,10,12,6.754579534584693e-17,0.0
released,,,True,0.01026656187769237,0.026754246446888365,-0.016487684569195995,0.9751243781094527,0.008722490606548616,0.02275831991411702,-0.014035829307568404,0.9701492537313433,200,source_val_energy_matched_random_orthobasis_partial_last_direction,0.35223349928855896,0.39635127782821655,0.35223349928855896,3.3306690738754696e-16,0.3521216074077269,45.45,39,51,1.5959455978986625e-16,0.0
H200_s0,200.0,0,True,-0.0022197953788774052,-0.0018607079982413837,-0.0003590873806360215,0.5074626865671642,-0.0017444981213097233,-0.0012130971551261437,-0.0005314009661835796,0.5373134328358209,200,source_val_energy_matched_random_orthobasis_partial_last_direction,0.20975664258003235,0.2239646315574646,0.20975664258003235,2.220446049250313e-16,0.2099904536196994,13.96,12,15,3.0357660829594124e-17,0.0
H200_s1,200.0,1,True,-0.0026753749463816895,0.002239214793523547,-0.0049145897399052365,0.7711442786069652,-0.0012077294685990114,0.00227187332259798,-0.003479602791196991,0.736318407960199,200,source_val_energy_matched_random_orthobasis_partial_last_direction,0.1264413595199585,0.14309264719486237,0.1264413595199585,1.1102230246251565e-16,0.12634326167222165,16.65,15,18,9.660241356845845e-17,0.0
H500_s0,500.0,0,True,-0.0014471912269261172,0.020398004012481343,-0.02184519523940746,0.9950248756218906,-0.001341921631776738,0.017589237788513148,-0.018931159420289886,0.9950248756218906,200,source_val_energy_matched_random_orthobasis_partial_last_direction,0.2880118191242218,0.2589544653892517,0.2880118191242218,2.220446049250313e-16,0.28678620586016795,37.225,33,43,-6.158268339717665e-17,0.0
H500_s1,500.0,1,True,-0.002590284919764957,0.008753063283128122,-0.011343348202893079,0.9054726368159204,-0.002147074610842764,0.0078073000536768525,-0.009954374664519617,0.900497512437811,200,source_val_energy_matched_random_orthobasis_partial_last_direction,0.18378351628780365,0.1871740072965622,0.18378351628780365,2.220446049250313e-16,0.18381441105250243,23.995,21,27,6.133873790836741e-17,0.0
H1000_s0,1000.0,0,True,-0.00037034581911546405,0.004221232025206633,-0.004591577844322097,0.7512437810945274,-0.0004025764895330408,0.0034353193773483327,-0.0038378958668813736,0.7412935323383084,200,source_val_energy_matched_random_orthobasis_partial_last_direction,0.19708840548992157,0.22547511756420135,0.19708840548992157,1.942890293094024e-16,0.1975977783979031,25.645,22,29,2.211772431870429e-17,0.0
H1000_s1,1000.0,1,True,0.0014984991953302246,0.012326208913660779,-0.010827709718330554,0.9303482587064676,0.0013419216317767102,0.01125,-0.00990807836822329,0.9253731343283582,200,source_val_energy_matched_random_orthobasis_partial_last_direction,0.24107103049755096,0.27453625202178955,0.24107103049755096,1.942890293094024e-16,0.2418709373020448,31.465,28,35,1.3308581667259567e-17,0.0
H2000_s0,2000.0,0,True,0.008674747244419148,0.009623837726750205,-0.0009490904823310567,0.5223880597014925,0.00764895330112722,0.008411164787976398,-0.0007622114868491778,0.5074626865671642,200,source_val_energy_matched_random_orthobasis_partial_last_direction,0.17504096031188965,0.16720549762248993,0.17504096031188965,1.3877787807814457e-16,0.17514883767611159,22.91,20,25,-8.760353553682876e-17,0.0
H2000_s1,2000.0,1,True,-0.000507017589914241,0.016340012808764626,-0.016847030398678867,0.9850746268656716,-0.00026838432635534204,0.014772544283413853,-0.015040928609769195,0.9950248756218906,200,source_val_energy_matched_random_orthobasis_partial_last_direction,0.2578701078891754,0.22929747402668,0.2578701078891754,2.220446049250313e-16,0.25822671031358596,33.55,30,36,6.353424730765056e-17,0.0
