tag,budget_h,seed,task_gate_pass,l4_l5_l6_status,l5_subject_removal_delta_kappa,l5_subject_removal_delta_bacc,l5_null_delta_kappa_mean,l5_null_delta_kappa_sd,l5_null_delta_bacc_mean,l5_null_delta_bacc_sd,l5_subject_removal_kappa_z,l5_subject_removal_bacc_z,l5_removed_variance_frac
random,,,,REFERENCE,0.0003766607879064354,0.0012077294685990392,0.0006666113849254706,0.005692630472254849,0.0008373590982286541,0.004949167074513067,-0.050934369883632376,0.07483487422415425,0.1498536765575409
released,,,True,REFERENCE,0.010247044697473395,0.008722490606548616,0.00631619810423828,0.007989341467808638,0.00497584541062803,0.007088996928679226,0.49201127740782535,0.52851548746589,0.39635491371154785
H200_s0,200.0,0,True,PASS,-0.0022197953788772873,-0.0017444981213097233,-0.0029959403616187565,0.005824834530480961,-0.0024825550187869026,0.005167304435663848,0.13324753612011123,0.14283206337741103,0.22396591305732727
H200_s1,200.0,1,True,PASS,-0.0026753749463817034,-0.0012077294685990114,0.0007103832425154089,0.0050831731531691396,0.0007809983896940626,0.004452648039912486,-0.6660716487130858,-0.44663925687081796,0.14308810234069824
H500_s0,500.0,0,True,PASS,-0.0014471912269260478,-0.001341921631776738,0.004802662553121835,0.005898600483878811,0.004006977992485228,0.005248406984837105,-1.059548402639009,-1.0191470708289418,0.25895076990127563
H500_s1,500.0,1,True,PASS,-0.0025902849197649847,-0.002147074610842764,-7.992547922593296e-05,0.00612557881691614,-1.0735373054225894e-05,0.0052055380043929235,-0.40981580773897514,-0.4103973163942666,0.1871751844882965
H1000_s0,1000.0,0,True,PASS,-0.0009558748864512134,-0.0008051529790660261,-0.0011922711862201929,0.004176221629372208,-0.0013365539452496239,0.003760251184700365,0.05660529161121752,0.1413205657710275,0.2254781275987625
H1000_s1,1000.0,1,True,PASS,0.0009141920166990669,0.0008051529790660261,-0.00021282346663434204,0.004877138077167154,-9.125067096081796e-05,0.004342806722111711,0.23108126823974567,0.2064110841156383,0.2745370864868164
H2000_s0,2000.0,0,True,PASS,0.0086747472444193,0.00764895330112722,0.004828832579603477,0.005780710964830292,0.004243156199677958,0.004971118935789043,0.6653012099918267,0.6851166629333548,0.16721047461032867
H2000_s1,2000.0,1,True,PASS,-0.0005070175899143381,-0.00026838432635534204,0.0016683667633201594,0.006291188869623697,0.0015485775630703197,0.005348544100845331,-0.34578265770329014,-0.3397114271577317,0.229295015335083
