dataset,backbone,feature_object,training_method,heldout_subject,seed,normalized_overlap,raw_overlap,rank_Y,rank_D,null_mean,null_ci_hi,feature_norm,cov_condition_number,effective_rank,top_singular_value,config_hash,git_sha
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,0.03184323695663975,0.09552971086991925,3,7,0.11189132156009016,0.12204387845656814,13.8663328815525,513.5154248142454,44.359542901397575,234.30124152704462,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,0.03430395105738613,0.1029118531721584,3,7,0.10558639476162078,0.11501119707076587,11.113622546620265,1036.9687550347721,43.03164026277434,206.57870967928002,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,2,0.03828348614219341,0.11485045842658022,3,7,0.09942992336131827,0.10640968719930086,15.055442529128971,1795.3320427823414,40.32006347878838,337.4014335918006,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,2,0,0.033767524195027286,0.10130257258508187,3,7,0.10873776309077586,0.11937348747308396,14.907400370251622,684.8670966848949,43.52412614856767,267.1717421159882,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,2,1,0.021902753082557402,0.06570825924767221,3,7,0.10841440384980336,0.11624106472825292,13.202120961624688,943.8668546458731,42.249503349355784,232.39475273822583,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,2,2,0.024798965470159178,0.07439689641047753,3,7,0.09840152706774757,0.10596390967376594,16.67149354796549,1045.4433705417669,41.72430483916122,329.9337964126186,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,3,0,0.08097718183501533,0.242931545505046,3,7,0.11429346000987034,0.12344590894901472,13.265511664488232,678.8554536196453,44.59075646803772,246.04251088168942,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,3,1,0.05820840065976186,0.17462520197928558,3,7,0.10247132071743219,0.11154913923636056,11.163396036517085,874.5794771463935,42.85866527693257,193.12586669589504,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,3,2,0.04602632157617859,0.13807896472853579,3,7,0.10578522194602398,0.11353625847552,13.66767943397578,844.5144327168374,44.42048356304722,243.57968704618975,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,4,0,0.04179259470871311,0.12537778412613934,3,7,0.10226561543804437,0.11218552809890767,14.916297908495364,947.2354679187736,43.39040331240304,263.254514682225,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
