dataset,backbone,feature_object,training_method,heldout_subject,seed,config_hash,git_sha,kind,pair,consistency,ci_lo,ci_hi,perm_p,snr,n_clusters
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,multiclass_macro,macro,0.19647069442956108,0.15439899688559477,0.23785007680599832,,,6
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,multiclass_pair,0v1,0.2141297398644562,0.14579710896666861,0.27844858453517857,0.004975124378109453,1.3088735621456757,8
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,multiclass_pair,0v2,0.1708649104646702,0.1227863727893582,0.2208059448225968,0.009950248756218905,1.2840024957307836,8
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,multiclass_pair,0v3,0.08441644831850258,-0.00570307753458775,0.1711998752892955,0.04477611940298507,1.3481555399547978,8
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,multiclass_pair,1v2,0.12397476821416328,0.04988748609709671,0.1788164450303789,0.024875621890547265,1.727475609395533,8
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,multiclass_pair,1v3,0.33180354304945014,0.19691932235199058,0.42095423957064604,0.004975124378109453,1.3911742586431137,8
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,multiclass_pair,2v3,0.25363475666612406,0.14249244887384308,0.3400180742813745,0.009950248756218905,1.3635999768763598,8
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,multiclass_macro,macro,0.14029151462131764,0.09860811749411925,0.1824970291250839,,,6
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,multiclass_pair,0v1,0.13576091366819434,0.06789646296992657,0.1985421561426584,0.014925373134328358,1.730895189353751,8
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,multiclass_pair,0v2,0.09010172230250044,-0.011730937235049942,0.181028608965572,0.04477611940298507,1.6318698336567086,8
