estimator,q,ordAcc_oracleq_minus_unif,ci_lo,ci_hi,sig_switch
fixed_reference_oneshot,0.1,0.0225,0.014,0.0318,True
fixed_reference_oneshot,0.2,0.0114,0.0064,0.0168,True
fixed_reference_oneshot,0.3,0.0044,0.0022,0.0067,True
fixed_reference_oneshot,0.4,0.0009,-0.001,0.0027,False
fixed_reference_oneshot,0.5,0.0,0.0,0.0,False
fixed_reference_oneshot,0.6,0.0022,0.0007,0.0037,True
fixed_reference_oneshot,0.7,0.0067,0.0036,0.0102,True
fixed_reference_oneshot,0.8,0.012,0.0071,0.0175,True
fixed_reference_oneshot,0.9,0.0333,0.0219,0.046,True
joint,0.1,-0.0002,-0.0006,0.0,False
joint,0.2,-0.0003,-0.0007,0.0,False
joint,0.3,-0.0001,-0.0004,0.0,False
joint,0.4,-0.0001,-0.0003,0.0,False
joint,0.5,0.0,0.0,0.0,False
joint,0.6,-0.0001,-0.0002,0.0,False
joint,0.7,-0.0001,-0.0004,0.0,False
joint,0.8,-0.0002,-0.0004,-0.0,False
joint,0.9,-0.0001,-0.0004,0.0,False
