estimator,metric,q0.1,q0.2,q0.3,q0.4,q0.5,q0.6,q0.7,q0.8,q0.9
fixed_reference_oneshot,BA,0.5197,0.5214,0.5239,0.5275,0.5245,0.5233,0.5224,0.5241,0.5188
fixed_reference_oneshot,ordAcc_unif,0.7082,0.6478,0.5995,0.5595,0.5245,0.5041,0.4988,0.5095,0.5151
fixed_reference_oneshot,ordAcc_piJ,0.7082,0.6478,0.5995,0.5595,0.5245,0.5041,0.4988,0.5095,0.5151
fixed_reference_oneshot,ordAcc_oracleq,0.7307,0.6592,0.6039,0.5604,0.5245,0.5063,0.5056,0.5215,0.5484
joint,BA,0.5034,0.5027,0.5019,0.5015,0.5027,0.5017,0.5015,0.502,0.5023
joint,ordAcc_unif,0.7154,0.6455,0.5901,0.5389,0.5027,0.4813,0.4805,0.4934,0.498
joint,ordAcc_piJ,0.7151,0.645,0.5896,0.5384,0.5025,0.4811,0.4803,0.4931,0.4977
joint,ordAcc_oracleq,0.7152,0.6452,0.5899,0.5388,0.5027,0.4813,0.4804,0.4932,0.4978
oracle_label_conditional,BA,0.5062,0.5081,0.5109,0.5177,0.5471,0.5173,0.5119,0.5077,0.5052
oracle_label_conditional,ordAcc_unif,0.901,0.8029,0.7061,0.6132,0.5471,0.6133,0.7064,0.8026,0.9007
oracle_label_conditional,ordAcc_piJ,0.901,0.8029,0.7061,0.6132,0.5471,0.6133,0.7064,0.8026,0.9007
oracle_label_conditional,ordAcc_oracleq,0.9007,0.8024,0.7055,0.6126,0.5471,0.6126,0.7056,0.8019,0.9004
pooled,BA,0.5779,0.5827,0.5873,0.588,0.5853,0.5813,0.5794,0.5745,0.5698
pooled,ordAcc_unif,0.5733,0.5911,0.6002,0.598,0.5853,0.5645,0.5393,0.504,0.462
pooled,ordAcc_piJ,0.5733,0.5911,0.6002,0.598,0.5853,0.5645,0.5393,0.504,0.462
pooled,ordAcc_oracleq,0.8488,0.7587,0.6761,0.6113,0.5853,0.5981,0.6579,0.7545,0.8649
