tag,N,seed,l4_alignment,subject_subspace_var_frac,task_gate_pass
N128_s0,128,0,0.0134745637165682,0.8186860680580139,False
N128_s1,128,1,0.0104008908475303,0.8701202273368835,False
N128_s2,128,2,0.0075201684600977,0.759157121181488,True
N256_s0,256,0,0.0058796876393124,0.8832149505615234,False
N256_s1,256,1,0.0025010197293401,0.8729549646377563,False
N256_s2,256,2,0.0021519885808833,0.8021977543830872,True
N512_s0,512,0,0.0090212652697638,0.8868294954299927,False
N512_s1,512,1,0.0090136793149083,0.8454334139823914,False
N512_s2,512,2,0.0070636954008466,0.881165087223053,False
N1024_s0,1024,0,0.0029949706694628,0.8660171627998352,True
N1024_s1,1024,1,0.0047461598576639,0.8037453293800354,False
N1024_s2,1024,2,0.0086722197641327,0.8166106939315796,False
N2048_s0,2048,0,0.0058947392897266,0.8202698826789856,False
N2048_s1,2048,1,0.0050382145680869,0.8913738131523132,False
N2048_s2,2048,2,0.0059833750974741,0.832653820514679,True
