tag,checkpoint,subject_subspace_var_frac,l4_alignment,n_pca,C,source_val_bacc,target_bacc,target_macro_f1,target_nll,l1_l1_pairwise_bacc_mean,l1_l1_pairwise_bacc_sd,l1_n_pairs,l5_target_bacc_base,l5_target_bacc_subject_removed,l5_subject_removal_drop,l5_removed_variance_frac,l5_null_drop_mean,l5_null_drop_sd,l5_l5_reliance_z,l5_l5_beats_null,N,seed,task_gate_pass
N128_s0,results/s2p_p1_cbramod/N128_s0/best.pth,0.8186860680580139,0.0134745637165682,64,0.01,0.5376302601548095,0.503191531078033,0.5031911494528316,0.6995629320093578,0.8266815023968153,0.1591894230239881,105,0.503191531078033,0.5006132532412739,0.0025782778367591,0.5362408757209778,0.0020006070807693,0.0010827036394532,0.5335441771835043,False,128,0,False
N128_s1,results/s2p_p1_cbramod/N128_s1/best.pth,0.8701202273368835,0.0104008908475303,64,0.01,0.5723669782892973,0.5330009396680808,0.5329963762590503,0.6929932948983842,0.8232874754907216,0.1742671389480403,105,0.5330009396680808,0.5249828986218685,0.0080180410462122,0.6201145052909851,0.0010966304112608,0.0024495166671431,2.825621847024177,True,128,1,False
N128_s2,results/s2p_p1_cbramod/N128_s2/best.pth,0.759157121181488,0.0075201684600977,64,0.1,0.582912669855993,0.5178188372224748,0.5171350638511947,0.7056245867008689,0.8453948597501203,0.1813157868272435,105,0.5178188372224748,0.512922251543481,0.0048965856789937,0.3980314135551452,0.0002548795206095,0.0011166362187676,4.1568614052708845,True,128,2,True
N256_s0,results/s2p_p1_cbramod/N256_s0/best.pth,0.8832149505615234,0.0058796876393124,64,0.1,0.5788468202849817,0.497699846486992,0.4976124402565394,0.6991749366800355,0.8492359599377834,0.1706631379783433,105,0.497699846486992,0.5023981868908315,-0.0046983404038394,0.489723801612854,-0.000466028892978,0.0013923601135226,-3.039665119743116,False,256,0,False
N256_s1,results/s2p_p1_cbramod/N256_s1/best.pth,0.8729549646377563,0.0025010197293401,64,1.0,0.534564797743105,0.5399424289911566,0.5395471112428718,0.6861540386922919,0.8375168400925065,0.1748577306535688,105,0.5399424289911566,0.5307298330818353,0.0092125959093213,0.3682349920272827,-0.0013545380739854,0.0017237139594856,6.130441651710198,True,256,1,False
N256_s2,results/s2p_p1_cbramod/N256_s2/best.pth,0.8021977543830872,0.0021519885808833,64,0.01,0.5806387857817775,0.512392871303234,0.4964243508112893,0.7088371001353926,0.8312080500732619,0.1801352689720645,105,0.512392871303234,0.5003718006625604,0.0120210706406735,0.4600696265697479,-3.1544962464047366e-05,0.0010792017699721,11.16807326527606,True,256,2,True
N512_s0,results/s2p_p1_cbramod/N512_s0/best.pth,0.8868294954299927,0.0090212652697638,64,1.0,0.5509239705758927,0.4917216258726786,0.4916734338341673,0.6999030344189967,0.8881484462193406,0.1423554660623289,105,0.4917216258726786,0.5036370383172534,-0.0119154124445747,0.3838056325912475,-0.0012536072652172,0.0014257029135265,-7.478274470738663,False,512,0,False
N512_s1,results/s2p_p1_cbramod/N512_s1/best.pth,0.8454334139823914,0.0090136793149083,64,0.1,0.5629614438063987,0.5312639334476814,0.5312000639181848,0.6912899607957855,0.8464461368669595,0.1640682956783946,105,0.5312639334476814,0.5181376272436935,0.0131263062039879,0.4846116006374359,0.0008547566521093,0.0014849096146871,8.264167169728529,True,512,1,False
N512_s2,results/s2p_p1_cbramod/N512_s2/best.pth,0.881165087223053,0.0070636954008466,64,0.1,0.56255804005339,0.5337750402663022,0.5301703311137692,0.698059262120512,0.8277924675875372,0.1892513175415399,105,0.5337750402663022,0.5274152156516461,0.0063598246146561,0.3548804223537445,0.0007679281262845,0.0014920449142637,3.747804564801968,True,512,2,False
N1024_s0,results/s2p_p1_cbramod/N1024_s0/best.pth,0.8660171627998352,0.0029949706694628,64,0.01,0.588406338582997,0.5200852236831213,0.5032505985574578,0.7047953012022545,0.8517245415905812,0.1610167649837541,105,0.5200852236831213,0.5098385571810539,0.0102466665020674,0.4438982009887695,-0.0001230936138879,0.0012327444847702,8.411923015794537,True,1024,0,True
N1024_s1,results/s2p_p1_cbramod/N1024_s1/best.pth,0.8037453293800354,0.0047461598576639,64,1.0,0.5691803593813032,0.5431909646629612,0.5431205428546939,0.6923781631167897,0.8320295975670767,0.1825275819330088,105,0.5431909646629612,0.5340237545767064,0.0091672100862548,0.1916598677635193,-0.0011144870094881,0.0017320790176526,5.936040477897191,True,1024,1,False
N1024_s2,results/s2p_p1_cbramod/N1024_s2/best.pth,0.8166106939315796,0.0086722197641327,64,0.1,0.5705198493598335,0.5195133623124839,0.518921040580911,0.7006082639847557,0.8479381947349577,0.1926401566756752,105,0.5195133623124839,0.5121942629414952,0.0073190993709887,0.3488406836986542,-0.0001652624898155,0.0011181327680709,6.6936193812627,True,1024,2,False
N2048_s0,results/s2p_p1_cbramod/N2048_s0/best.pth,0.8202698826789856,0.0058947392897266,64,0.01,0.5592103303849663,0.5083898417087727,0.4993723651942565,0.7025129576293424,0.8250182836772568,0.1727400521988117,105,0.5083898417087727,0.5029911072833716,0.005398734425401,0.4892767965793609,-0.0016276663263334,0.0016955412923846,4.144043344299231,True,2048,0,False
N2048_s1,results/s2p_p1_cbramod/N2048_s1/best.pth,0.8913738131523132,0.0050382145680869,64,0.01,0.5711148022103276,0.5327787306783474,0.5310278942570648,0.6908759354525894,0.8406314537112296,0.1870671822082274,105,0.5327787306783474,0.5317798794843008,0.0009988511940465,0.6256985068321228,0.0007732727608086,0.0011574160939461,0.1948981351819758,False,2048,1,False
N2048_s2,results/s2p_p1_cbramod/N2048_s2/best.pth,0.832653820514679,0.0059833750974741,64,0.1,0.5948574143714618,0.5126539305575122,0.5035942252257994,0.7009266628425826,0.8414275636229708,0.1956015500531714,105,0.5126539305575122,0.5143067006903002,-0.0016527701327879,0.2807790040969848,0.0002984934811434,0.0010868030097649,-1.795414441241803,False,2048,2,True
