tag,N,seed,l1_l1_pairwise_bacc_mean,l1_l1_pairwise_bacc_sd,l1_n_pairs
N128_s0,128,0,0.8266815023968153,0.1591894230239881,105
N128_s1,128,1,0.8232874754907216,0.1742671389480403,105
N128_s2,128,2,0.8453948597501203,0.1813157868272435,105
N256_s0,256,0,0.8492359599377834,0.1706631379783433,105
N256_s1,256,1,0.8375168400925065,0.1748577306535688,105
N256_s2,256,2,0.8312080500732619,0.1801352689720645,105
N512_s0,512,0,0.8881484462193406,0.1423554660623289,105
N512_s1,512,1,0.8464461368669595,0.1640682956783946,105
N512_s2,512,2,0.8277924675875372,0.1892513175415399,105
N1024_s0,1024,0,0.8517245415905812,0.1610167649837541,105
N1024_s1,1024,1,0.8320295975670767,0.1825275819330088,105
N1024_s2,1024,2,0.8479381947349577,0.1926401566756752,105
N2048_s0,2048,0,0.8250182836772568,0.1727400521988117,105
N2048_s1,2048,1,0.8406314537112296,0.1870671822082274,105
N2048_s2,2048,2,0.8414275636229708,0.1956015500531714,105
