tag,N,seed,target_bacc,target_macro_f1,target_nll,task_gate_pass
N128_s0,128,0,0.503191531078033,0.5031911494528316,0.6995629320093578,False
N128_s1,128,1,0.5330009396680808,0.5329963762590503,0.6929932948983842,False
N128_s2,128,2,0.5178188372224748,0.5171350638511947,0.7056245867008689,True
N256_s0,256,0,0.497699846486992,0.4976124402565394,0.6991749366800355,False
N256_s1,256,1,0.5399424289911566,0.5395471112428718,0.6861540386922919,False
N256_s2,256,2,0.512392871303234,0.4964243508112893,0.7088371001353926,True
N512_s0,512,0,0.4917216258726786,0.4916734338341673,0.6999030344189967,False
N512_s1,512,1,0.5312639334476814,0.5312000639181848,0.6912899607957855,False
N512_s2,512,2,0.5337750402663022,0.5301703311137692,0.698059262120512,False
N1024_s0,1024,0,0.5200852236831213,0.5032505985574578,0.7047953012022545,True
N1024_s1,1024,1,0.5431909646629612,0.5431205428546939,0.6923781631167897,False
N1024_s2,1024,2,0.5195133623124839,0.518921040580911,0.7006082639847557,False
N2048_s0,2048,0,0.5083898417087727,0.4993723651942565,0.7025129576293424,False
N2048_s1,2048,1,0.5327787306783474,0.5310278942570648,0.6908759354525894,False
N2048_s2,2048,2,0.5126539305575122,0.5035942252257994,0.7009266628425826,True
