tag,checkpoint,subject_subspace_var_frac,l4_alignment,n_pca,C,source_val_bacc,target_bacc,target_macro_f1,target_nll,l1_l1_pairwise_bacc_mean,l1_l1_pairwise_bacc_sd,l1_n_pairs,l5_target_bacc_base,l5_target_bacc_subject_removed,l5_subject_removal_drop,l5_removed_variance_frac,l5_null_drop_mean,l5_null_drop_sd,l5_l5_reliance_z,l5_l5_beats_null,N,seed
N128_s0,results/s2p_p1_cbramod/N128_s0/best.pth,0.8186860680580139,0.013474563716568216,64,0.01,0.5376302601548095,0.503191531078033,0.5031911494528316,0.6995629320093578,0.8266815023968153,0.1591894230239881,105,0.503191531078033,0.5006132532412739,0.002578277836759124,0.5362408757209778,0.0020006070807693233,0.0010827036394532741,0.5335441771835043,False,128.0,0.0
N128_s1,results/s2p_p1_cbramod/N128_s1/best.pth,0.8701202273368835,0.010400890847530323,64,0.01,0.5723669782892973,0.5330009396680808,0.5329963762590503,0.6929932948983842,0.8232874754907216,0.17426713894804033,105,0.5330009396680808,0.5249828986218685,0.008018041046212288,0.6201145052909851,0.001096630411260846,0.0024495166671431308,2.825621847024177,True,128.0,1.0
N128_s2,results/s2p_p1_cbramod/N128_s2/best.pth,0.759157121181488,0.007520168460097709,64,0.1,0.582912669855993,0.5178188372224748,0.5171350638511947,0.7056245867008689,0.8453948597501203,0.18131578682724356,105,0.5178188372224748,0.512922251543481,0.004896585678993759,0.39803141355514526,0.0002548795206095411,0.0011166362187676401,4.1568614052708845,True,128.0,2.0
N256_s0,results/s2p_p1_cbramod/N256_s0/best.pth,0.8832149505615234,0.0058796876393124,64,0.1,0.5788468202849817,0.49769984648699206,0.49761244025653945,0.6991749366800355,0.8492359599377834,0.17066313797834337,105,0.49769984648699206,0.5023981868908315,-0.004698340403839429,0.489723801612854,-0.00046602889297803207,0.0013923601135226139,-3.0396651197431157,False,256.0,0.0
N256_s1,results/s2p_p1_cbramod/N256_s1/best.pth,0.8729549646377563,0.002501019729340176,64,1.0,0.534564797743105,0.5399424289911566,0.5395471112428718,0.6861540386922919,0.8375168400925065,0.1748577306535688,105,0.5399424289911566,0.5307298330818353,0.00921259590932133,0.3682349920272827,-0.0013545380739854451,0.0017237139594856528,6.130441651710198,True,256.0,1.0
N256_s2,results/s2p_p1_cbramod/N256_s2/best.pth,0.8021977543830872,0.0021519885808833255,64,0.01,0.5806387857817775,0.512392871303234,0.4964243508112893,0.7088371001353926,0.8312080500732619,0.18013526897206458,105,0.512392871303234,0.5003718006625604,0.012021070640673592,0.4600696265697479,-3.1544962464047366e-05,0.001079201769972136,11.168073265276059,True,256.0,2.0
N512_s0,results/s2p_p1_cbramod/N512_s0/best.pth,0.8868294954299927,0.009021265269763868,64,1.0,0.5509239705758927,0.49172162587267865,0.4916734338341673,0.6999030344189967,0.8881484462193406,0.14235546606232896,105,0.49172162587267865,0.5036370383172534,-0.011915412444574724,0.38380563259124756,-0.001253607265217227,0.0014257029135265025,-7.478274470738663,False,512.0,0.0
N512_s1,results/s2p_p1_cbramod/N512_s1/best.pth,0.8454334139823914,0.00901367931490836,64,0.1,0.5629614438063987,0.5312639334476814,0.5312000639181848,0.6912899607957855,0.8464461368669595,0.16406829567839468,105,0.5312639334476814,0.5181376272436935,0.013126306203987914,0.4846116006374359,0.0008547566521093231,0.0014849096146871054,8.264167169728529,True,512.0,1.0
N512_s2,results/s2p_p1_cbramod/N512_s2/best.pth,0.881165087223053,0.007063695400846633,64,0.1,0.56255804005339,0.5337750402663022,0.5301703311137692,0.698059262120512,0.8277924675875372,0.18925131754153993,105,0.5337750402663022,0.5274152156516461,0.006359824614656118,0.3548804223537445,0.0007679281262845672,0.0014920449142637334,3.747804564801968,True,512.0,2.0
N1024_s0,results/s2p_p1_cbramod/N1024_s0/best.pth,0.8660171627998352,0.0029949706694628285,64,0.01,0.588406338582997,0.5200852236831213,0.5032505985574578,0.7047953012022545,0.8517245415905812,0.16101676498375414,105,0.5200852236831213,0.5098385571810539,0.010246666502067403,0.44389820098876953,-0.00012309361388795903,0.0012327444847702082,8.411923015794537,True,1024.0,0.0
