check,status,blocking,evidence
protocol_sha_exact,PASS,0,df85699090a65d1e1766d754bcebd9eb5648cc13e4441d8074a3f4884487c7f8
protocol_authoritative_sha,PASS,0,df85699090a65d1e1766d754bcebd9eb5648cc13e4441d8074a3f4884487c7f8
route_sha_exact,PASS,0,c99c91fbbcfb7d4316420d12e26c167ea2d81ec7a7d7a5bd59654e71a8286b67
lock_sha_exact,PASS,0,aee520820cb7b2b94ab43f4e2bf8a30278a36f479296e145c24eaada99df36ad
direct_authorization_received,PASS,0,"{""evidence_sha256"": ""5eff48864c41d3953389a5ae6607ef0188fc4fed722c53b10209654b3dc937ff"", ""mode"": ""direct_explicit_user_authorization"", ""received"": true, ""scope_bound"": true}"
direct_authorization_mode,PASS,0,"{""evidence_sha256"": ""5eff48864c41d3953389a5ae6607ef0188fc4fed722c53b10209654b3dc937ff"", ""mode"": ""direct_explicit_user_authorization"", ""received"": true, ""scope_bound"": true}"
authorization_evidence_hash,PASS,0,5eff48864c41d3953389a5ae6607ef0188fc4fed722c53b10209654b3dc937ff
scope_bound,PASS,0,"{""BNCI2014_004"": false, ""C79"": false, ""GPU"": false, ""analysis_only"": true, ""forward"": false, ""manuscript"": false, ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""reinference"": false, ""same_label_oracle"": false, ""seed"": 3, ""seed4"": false, ""target4_primary"": false, ""training"": false}"
primary_targets_exact,PASS,0,"[1, 2, 3, 5, 6, 7, 8, 9]"
target4_excluded,PASS,0,"[1, 2, 3, 5, 6, 7, 8, 9]"
seed3_only,PASS,0,3
seed4_blocked,PASS,0,"{""BNCI2014_004"": false, ""C79"": false, ""GPU"": false, ""analysis_only"": true, ""forward"": false, ""manuscript"": false, ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""reinference"": false, ""same_label_oracle"": false, ""seed"": 3, ""seed4"": false, ""target4_primary"": false, ""training"": false}"
C79_blocked,PASS,0,"{""BNCI2014_004"": false, ""C79"": false, ""GPU"": false, ""analysis_only"": true, ""forward"": false, ""manuscript"": false, ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""reinference"": false, ""same_label_oracle"": false, ""seed"": 3, ""seed4"": false, ""target4_primary"": false, ""training"": false}"
BNCI004_blocked,PASS,0,"{""BNCI2014_004"": false, ""C79"": false, ""GPU"": false, ""analysis_only"": true, ""forward"": false, ""manuscript"": false, ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""reinference"": false, ""same_label_oracle"": false, ""seed"": 3, ""seed4"": false, ""target4_primary"": false, ""training"": false}"
training_blocked,PASS,0,"{""BNCI2014_004"": false, ""C79"": false, ""GPU"": false, ""analysis_only"": true, ""forward"": false, ""manuscript"": false, ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""reinference"": false, ""same_label_oracle"": false, ""seed"": 3, ""seed4"": false, ""target4_primary"": false, ""training"": false}"
forward_blocked,PASS,0,"{""BNCI2014_004"": false, ""C79"": false, ""GPU"": false, ""analysis_only"": true, ""forward"": false, ""manuscript"": false, ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""reinference"": false, ""same_label_oracle"": false, ""seed"": 3, ""seed4"": false, ""target4_primary"": false, ""training"": false}"
reinference_blocked,PASS,0,"{""BNCI2014_004"": false, ""C79"": false, ""GPU"": false, ""analysis_only"": true, ""forward"": false, ""manuscript"": false, ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""reinference"": false, ""same_label_oracle"": false, ""seed"": 3, ""seed4"": false, ""target4_primary"": false, ""training"": false}"
GPU_blocked,PASS,0,"{""BNCI2014_004"": false, ""C79"": false, ""GPU"": false, ""analysis_only"": true, ""forward"": false, ""manuscript"": false, ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""reinference"": false, ""same_label_oracle"": false, ""seed"": 3, ""seed4"": false, ""target4_primary"": false, ""training"": false}"
manuscript_blocked,PASS,0,"{""BNCI2014_004"": false, ""C79"": false, ""GPU"": false, ""analysis_only"": true, ""forward"": false, ""manuscript"": false, ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""reinference"": false, ""same_label_oracle"": false, ""seed"": 3, ""seed4"": false, ""target4_primary"": false, ""training"": false}"
same_label_oracle_blocked,PASS,0,"{""BNCI2014_004"": false, ""C79"": false, ""GPU"": false, ""analysis_only"": true, ""forward"": false, ""manuscript"": false, ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""reinference"": false, ""same_label_oracle"": false, ""seed"": 3, ""seed4"": false, ""target4_primary"": false, ""training"": false}"
oracle_descriptor_absent,PASS,0,oracle tokens absent
four_views_per_target,PASS,0,"{""1"": [""instrumentation_manifest"", ""strict_source_input"", ""target_construction_view"", ""target_evaluation_view"", ""target_unlabeled_input""], ""2"": [""instrumentation_manifest"", ""strict_source_input"", ""target_construction_view"", ""target_evaluation_view"", ""target_unlabeled_input""], ""3"": [""instrumentation_manifest"", ""strict_source_input"", ""target_construction_view"", ""target_evaluation_view"", ""target_unlabeled_input""], ""5"": [""instrumentation_manifest"", ""strict_source_input"", ""target_construction_view"", ""target_evaluation_view"", ""target_unlabeled_input""], ""6"": [""instrumentation_manifest"", ""strict_source_input"", ""target_construction_view"", ""target_evaluation_view"", ""target_unlabeled_input""], ""7"": [""instrumentation_manifest"", ""strict_source_input"", ""target_construction_view"", ""target_evaluation_view"", ""target_unlabeled_input""], ""8"": [""instrumentation_manifest"", ""strict_source_input"", ""target_construction_view"", ""target_evaluation_view"", ""target_unlabeled_input""], ""9"": [""instrumentation_manifest"", ""strict_source_input"", ""target_construction_view"", ""target_evaluation_view"", ""target_unlabeled_input""]}"
route_targets_exact,PASS,0,"[""1"", ""2"", ""3"", ""5"", ""6"", ""7"", ""8"", ""9""]"
trial_id_not_predictor,PASS,0,join_split_and_dependence_cluster_only_never_predictor
row_order_not_predictor,PASS,0,alignment_only_never_predictor
implementation_file_count,PASS,0,9
implementation_hash::c78s_protocol.py,PASS,0,4c9ad2c3e3516167716b79b73893f3714ce14aba99bc3ed21dd9c6d20a0a8ef7
implementation_hash::c78s_data.py,PASS,0,4f8b9aa5d6ccbc3b078fb0471cfd0174b0c5a9e96a40d0ba9b5f426769ca39ff
implementation_hash::c78s_modeling.py,PASS,0,372f4b5e0315d487c452e74ce78736583c105a16c027362e4d96cc713d8175ca
implementation_hash::c78s_seed3_scientific_analysis.py,PASS,0,785e1a29f64ae03898aeb832914afc0cc4097db5ae5dfd0d0dfddbac1306c4f8
implementation_hash::c78s_red_team.py,PASS,0,c382e30cf53f1bb35cf3498275ff152d2d6dc019de2c24757cfd62c4c3630a00
implementation_hash::test_c78s_seed3_scientific_analysis.py,PASS,0,2f56fc1017b3042388944b60772b185860017abfc0ad3aaf2bc1d2f3eb83e855
