check,status,blocking,evidence
result_schema,PASS,0,c78s_seed3_scientific_analysis_result_v1
protocol_hash_replayed,PASS,0,df85699090a65d1e1766d754bcebd9eb5648cc13e4441d8074a3f4884487c7f8
execution_lock_replayed,PASS,0,aee520820cb7b2b94ab43f4e2bf8a30278a36f479296e145c24eaada99df36ad
authorization_scope,PASS,0,"{""mode"": ""direct_explicit_user_authorization"", ""received"": true, ""scope"": ""C78S_locked_seed3_analysis_only""}"
primary_unit_count,PASS,0,"{""levels"": [0, 1], ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""regimes"": [""ERM"", ""OACI"", ""SRC""], ""seed"": 3, ""seed3_role"": ""exploratory_replication_not_seed_confirmation"", ""target4_primary"": false, ""units"": 1296}"
primary_targets_exact,PASS,0,"[1, 2, 3, 5, 6, 7, 8, 9]"
target4_primary_false,PASS,0,"{""levels"": [0, 1], ""primary_targets"": [1, 2, 3, 5, 6, 7, 8, 9], ""regimes"": [""ERM"", ""OACI"", ""SRC""], ""seed"": 3, ""seed3_role"": ""exploratory_replication_not_seed_confirmation"", ""target4_primary"": false, ""units"": 1296}"
seed3_exploratory,PASS,0,exploratory_replication_not_seed_confirmation
complete_1458_replay,PASS,0,"{""expected_units"": ""1458"", ""observed_units"": ""1458"", ""passed"": ""1"", ""registry"": ""complete_seed3"", ""target4_units"": ""162"", ""unique_units"": ""1458""}"
primary_1296_replay,PASS,0,"{""expected_units"": ""1296"", ""observed_units"": ""1296"", ""passed"": ""1"", ""registry"": ""C78S_primary"", ""target4_units"": ""0"", ""unique_units"": ""1296""}"
primary_target4_zero,PASS,0,"{""expected_units"": ""1296"", ""observed_units"": ""1296"", ""passed"": ""1"", ""registry"": ""C78S_primary"", ""target4_units"": ""0"", ""unique_units"": ""1296""}"
target4_estimand_zero,PASS,0,"{""passed"": ""1"", ""target4_engineering_settings_changed_after_remaining_outcomes"": ""0"", ""target4_primary_estimands"": ""0"", ""target4_primary_multiplicity_members"": ""0"", ""target4_primary_null_members"": ""0"", ""target4_primary_units"": ""0""}"
target4_null_zero,PASS,0,"{""passed"": ""1"", ""target4_engineering_settings_changed_after_remaining_outcomes"": ""0"", ""target4_primary_estimands"": ""0"", ""target4_primary_multiplicity_members"": ""0"", ""target4_primary_null_members"": ""0"", ""target4_primary_units"": ""0""}"
target4_multiplicity_zero,PASS,0,"{""passed"": ""1"", ""target4_engineering_settings_changed_after_remaining_outcomes"": ""0"", ""target4_primary_estimands"": ""0"", ""target4_primary_multiplicity_members"": ""0"", ""target4_primary_null_members"": ""0"", ""target4_primary_units"": ""0""}"
split_target_count,PASS,0,8
split_disjoint_all,PASS,0,"[{""construction_rows"": ""280"", ""construction_sha256"": ""bf6fa50f1211c8e5dbbafde7513735095d7622efea3d381dd6ffe8ba79cd0840"", ""evaluation_rows"": ""296"", ""evaluation_sha256"": ""1d356d4c912a94c8a31f9becb6776ec21ab5be58c53adb8f7cc18986e5421894"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""1"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""283"", ""construction_sha256"": ""dbe30bde60c7083f48b0bbc3d7cbdefe566fccf31e741d6a3c2fae83c30f64ea"", ""evaluation_rows"": ""293"", ""evaluation_sha256"": ""f5cded74913ccf38f7642fc61d4d3a0bea730ab8047c01a1c376fb7835b82fc2"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""2"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""271"", ""construction_sha256"": ""b18b803301b61ef86f9297abbbbe7f3465bd031b3c34398c24d6d8d84ad395d3"", ""evaluation_rows"": ""305"", ""evaluation_sha256"": ""50d2fd855cce99981768290d272bbe2df4d48588285d9fc7d13339831e41acdc"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""3"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""280"", ""construction_sha256"": ""31bb1979e7332c1f0b88f1c7093290658a24231af56544f735c0eb8161dd0ca5"", ""evaluation_rows"": ""296"", ""evaluation_sha256"": ""7645a5071d194c68cd67dd971e2572c545061b17c56f8653dfae0243b65f26e9"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""5"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""291"", ""construction_sha256"": ""922e99ae972990d572ac620d5c4e289295e2249f178aef7d9b0cfbd3e32b9aa4"", ""evaluation_rows"": ""285"", ""evaluation_sha256"": ""f75fbf28c7d5cdf8fbf14e7e68568e1da02134d9e74f2b36292b51f0a1df3f95"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""6"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""264"", ""construction_sha256"": ""470352bab9f24bf03f7b113f311e7593bd7f4a66776f414acfb5e7e904b408c0"", ""evaluation_rows"": ""312"", ""evaluation_sha256"": ""efb1bfff7e0101ffe0ef16200538d69161f770e24b0abb5c8e96410dc7ac74a9"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""7"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""282"", ""construction_sha256"": ""fb37c45c54a88b83fe0883c35923e0616002e71b52688af34ad37ea2994690e5"", ""evaluation_rows"": ""294"", ""evaluation_sha256"": ""271d23a9801ea53af8436a243d244f3aee42207b45aa05f0c296492ce3761342"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""8"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""284"", ""construction_sha256"": ""9484c5ae01425f6ce0503a71e04718c5533808d85c03597602ed952725cd8c31"", ""evaluation_rows"": ""292"", ""evaluation_sha256"": ""cd4e6cf44856c5806f352bf7300736ec883c19ff3e4ac414892f38bb0b12bcbb"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""9"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}]"
split_union_576_all,PASS,0,"[{""construction_rows"": ""280"", ""construction_sha256"": ""bf6fa50f1211c8e5dbbafde7513735095d7622efea3d381dd6ffe8ba79cd0840"", ""evaluation_rows"": ""296"", ""evaluation_sha256"": ""1d356d4c912a94c8a31f9becb6776ec21ab5be58c53adb8f7cc18986e5421894"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""1"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""283"", ""construction_sha256"": ""dbe30bde60c7083f48b0bbc3d7cbdefe566fccf31e741d6a3c2fae83c30f64ea"", ""evaluation_rows"": ""293"", ""evaluation_sha256"": ""f5cded74913ccf38f7642fc61d4d3a0bea730ab8047c01a1c376fb7835b82fc2"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""2"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""271"", ""construction_sha256"": ""b18b803301b61ef86f9297abbbbe7f3465bd031b3c34398c24d6d8d84ad395d3"", ""evaluation_rows"": ""305"", ""evaluation_sha256"": ""50d2fd855cce99981768290d272bbe2df4d48588285d9fc7d13339831e41acdc"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""3"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""280"", ""construction_sha256"": ""31bb1979e7332c1f0b88f1c7093290658a24231af56544f735c0eb8161dd0ca5"", ""evaluation_rows"": ""296"", ""evaluation_sha256"": ""7645a5071d194c68cd67dd971e2572c545061b17c56f8653dfae0243b65f26e9"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""5"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""291"", ""construction_sha256"": ""922e99ae972990d572ac620d5c4e289295e2249f178aef7d9b0cfbd3e32b9aa4"", ""evaluation_rows"": ""285"", ""evaluation_sha256"": ""f75fbf28c7d5cdf8fbf14e7e68568e1da02134d9e74f2b36292b51f0a1df3f95"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""6"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""264"", ""construction_sha256"": ""470352bab9f24bf03f7b113f311e7593bd7f4a66776f414acfb5e7e904b408c0"", ""evaluation_rows"": ""312"", ""evaluation_sha256"": ""efb1bfff7e0101ffe0ef16200538d69161f770e24b0abb5c8e96410dc7ac74a9"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""7"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""282"", ""construction_sha256"": ""fb37c45c54a88b83fe0883c35923e0616002e71b52688af34ad37ea2994690e5"", ""evaluation_rows"": ""294"", ""evaluation_sha256"": ""271d23a9801ea53af8436a243d244f3aee42207b45aa05f0c296492ce3761342"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""8"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}, {""construction_rows"": ""284"", ""construction_sha256"": ""9484c5ae01425f6ce0503a71e04718c5533808d85c03597602ed952725cd8c31"", ""evaluation_rows"": ""292"", ""evaluation_sha256"": ""cd4e6cf44856c5806f352bf7300736ec883c19ff3e4ac414892f38bb0b12bcbb"", ""overlap_rows"": ""0"", ""passed"": ""1"", ""row_order_used_as_predictor"": ""0"", ""same_label_oracle_accessed"": ""0"", ""target_id"": ""9"", ""trial_id_used_as_predictor"": ""0"", ""union_rows"": ""576""}]"
