path,level,group,rows,association
strict_source,pooled,ALL,1296,0.00165710693285639
strict_source,within_target,1,162,0.0036644086671853097
strict_source,within_target,2,162,-0.002662220678052803
strict_source,within_target,3,162,0.010929708175847992
strict_source,within_target,5,162,0.0034215726151978565
strict_source,within_target,6,162,0.022279722000036903
strict_source,within_target,7,162,0.00019623945439826895
strict_source,within_target,8,162,0.040852713685429115
strict_source,within_target,9,162,0.015646537835782508
strict_source,within_target_x_level,target-1|level-0,81,-0.001466306549929359
strict_source,within_target_x_level,target-1|level-1,81,0.015786948991212416
strict_source,within_target_x_level,target-2|level-0,81,-0.009532720223047993
strict_source,within_target_x_level,target-2|level-1,81,-0.006339990110824167
strict_source,within_target_x_level,target-3|level-0,81,0.006971015265570665
strict_source,within_target_x_level,target-3|level-1,81,0.012323450031703037
strict_source,within_target_x_level,target-5|level-0,81,0.011445218000389768
strict_source,within_target_x_level,target-5|level-1,81,-0.004652465388892671
strict_source,within_target_x_level,target-6|level-0,81,0.04017565296307269
strict_source,within_target_x_level,target-6|level-1,81,0.020702121207351962
strict_source,within_target_x_level,target-7|level-0,81,-0.008555201834816211
strict_source,within_target_x_level,target-7|level-1,81,0.0005887071629652083
strict_source,within_target_x_level,target-8|level-0,81,0.10196033525200571
strict_source,within_target_x_level,target-8|level-1,81,-0.007800459220738503
strict_source,within_target_x_level,target-9|level-0,81,0.0052782940875021455
strict_source,within_target_x_level,target-9|level-1,81,0.05253886503164083
strict_source,within_target_x_level_x_regime,target-1|level-0|OACI,40,0.003107689039161294
strict_source,within_target_x_level_x_regime,target-1|level-0|SRC,40,-0.009017249745412643
strict_source,within_target_x_level_x_regime,target-1|level-1|OACI,40,-0.026702642308204988
strict_source,within_target_x_level_x_regime,target-1|level-1|SRC,40,0.01547971767846143
strict_source,within_target_x_level_x_regime,target-2|level-0|OACI,40,-0.018455104064515636
strict_source,within_target_x_level_x_regime,target-2|level-0|SRC,40,0.006754954633126553
strict_source,within_target_x_level_x_regime,target-2|level-1|OACI,40,-0.023073107348372937
