path,kernel,bandwidth_factor,statistic,association,median_target_association,positive_targets,worst_required_global_p,required_nulls_passing_0.05,required_null_count
strict_source,rbf,0.5,normalized_alignment,0.04693166821796121,0.04035621980157196,8,1.0,0,6
strict_source,rbf,0.5,centered_hsic,0.09123374740923965,0.08479897502542702,8,1.0,0,6
strict_source,rbf,1.0,normalized_alignment,0.014670635424378591,0.006626045272529156,7,1.0,0,6
strict_source,rbf,1.0,centered_hsic,0.08060429077956287,0.06022874375309401,8,1.0,0,6
strict_source,rbf,2.0,normalized_alignment,-0.0004156570389743006,-0.00337724654319481,3,1.0,0,6
strict_source,rbf,2.0,centered_hsic,0.0737237181077636,0.05205202202425227,8,1.0,0,6
strict_source,laplacian,0.5,normalized_alignment,0.04271326394754943,0.037146896018013575,8,1.0,0,6
strict_source,laplacian,0.5,centered_hsic,0.10104140624594417,0.09602848986274226,8,1.0,0,6
strict_source,laplacian,1.0,normalized_alignment,0.020718922421769963,0.014950437011405672,8,1.0,0,6
strict_source,laplacian,1.0,centered_hsic,0.09604110431895059,0.08431226011511898,8,1.0,0,6
strict_source,laplacian,2.0,normalized_alignment,0.007113441667331411,0.0033315667015605447,6,1.0,0,6
strict_source,laplacian,2.0,centered_hsic,0.09197544913899185,0.07686845696071458,8,1.0,0,6
target_unlabeled,rbf,0.5,normalized_alignment,0.12063174862626881,0.09601396231331732,8,1.0,1,6
target_unlabeled,rbf,0.5,centered_hsic,0.18963302285310654,0.16330433228526475,8,0.324,5,6
target_unlabeled,rbf,1.0,normalized_alignment,0.06506229370828186,0.035873713601898116,8,1.0,0,6
target_unlabeled,rbf,1.0,centered_hsic,0.21966670712007577,0.16516193283366196,8,0.002,6,6
target_unlabeled,rbf,2.0,normalized_alignment,0.016253700270666572,0.004534992465500293,7,1.0,0,6
target_unlabeled,rbf,2.0,centered_hsic,0.22098968389774226,0.16656264904463183,8,0.002,6,6
target_unlabeled,laplacian,0.5,normalized_alignment,0.10860684708689564,0.08345129015884956,8,1.0,1,6
target_unlabeled,laplacian,0.5,centered_hsic,0.19138862453167493,0.1648557745178313,8,0.23,5,6
target_unlabeled,laplacian,1.0,normalized_alignment,0.06920151121318566,0.045987288765201875,8,1.0,0,6
target_unlabeled,laplacian,1.0,centered_hsic,0.2112207359796281,0.16690172985784413,8,0.002,6,6
target_unlabeled,laplacian,2.0,normalized_alignment,0.03477167520950593,0.020215917051579442,8,1.0,0,6
target_unlabeled,laplacian,2.0,centered_hsic,0.21942040288529233,0.1677711314606138,8,0.002,6,6
