path,outcome,observed_incremental_R2,null_mean,null_p95,uncorrected_p,max_stat_corrected_p,null_replicates,null_scheme,observed_fold_alphas_frozen
strict_source_F2,continuous_joint_utility,-0.07308583875591457,-0.024988581761562746,-0.006848594203323409,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
strict_source_F2,target_bAcc,-0.018035824955429214,0.009301086960095163,0.016559977298412895,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
strict_source_F2,neg_target_NLL,-0.03003032200382605,-0.011751663042821332,-0.008128177639501478,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
strict_source_F2,neg_target_ECE,-0.040422980956789756,-0.013802546907406451,-0.004643509392038763,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
strict_source_F2,primary_joint_good,-0.00273420834723348,-0.0015526414689947348,0.0001679517058573276,0.9,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_geometry,continuous_joint_utility,0.005176499403102386,0.04345003853226225,0.05757032830753362,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_geometry,target_bAcc,0.014102427421770924,0.041432043207330675,0.052834984785658644,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_geometry,neg_target_NLL,-0.013671442010810497,-0.0017006316325579069,0.0034423757684213453,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_geometry,neg_target_ECE,0.005251796563734312,0.0004834891163929491,0.016017845327540924,0.292,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_geometry,primary_joint_good,-0.0036615697744233344,0.0016251998599530213,0.003203419304079623,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_full_mixed,continuous_joint_utility,-0.09381729362230662,0.03730170797885149,0.054921013697573115,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_full_mixed,target_bAcc,-0.00960471184872902,0.02286867684104828,0.037999095719954516,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_full_mixed,neg_target_NLL,-0.0791358822035555,-0.0025255423449682293,0.003651162878017262,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_full_mixed,neg_target_ECE,-0.01830054069678555,-0.004183505365453967,0.013798491681894983,0.882,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_full_mixed,primary_joint_good,-0.003059864086701003,0.002224932305740218,0.0038020711431603,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
construction_F5_positive,continuous_joint_utility,0.33035144083110124,-0.05002780177096466,-0.024685718052612902,0.002,0.002,499,new_block_permuted_within_target_x_level_x_regime,1
construction_F5_positive,target_bAcc,0.6477803352075073,-0.3341453979997,-0.2847782437174769,0.002,0.002,499,new_block_permuted_within_target_x_level_x_regime,1
construction_F5_positive,neg_target_NLL,0.09320917995200784,0.008074829585971251,0.012731107896275438,0.002,0.002,499,new_block_permuted_within_target_x_level_x_regime,1
construction_F5_positive,neg_target_ECE,0.17939800961983454,-0.003656493216531019,0.007467700804290843,0.002,0.002,499,new_block_permuted_within_target_x_level_x_regime,1
construction_F5_positive,primary_joint_good,0.008391142412678354,-0.030538107302097127,-0.02484234923467108,0.002,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
