target_id,level,regime,candidate_count,construction_evaluation_spearman,construction_evaluation_pairwise,ERM_anchor_included
1,0,ALL_81,81,0.9226043605422708,0.88,1
1,0,OACI,40,0.8203059058352931,0.8217054263565892,0
1,0,SRC,40,0.9202120184615588,0.889602053915276,0
1,1,ALL_81,81,0.8848240871259322,0.8551488833746899,1
1,1,OACI,40,0.8107905239980883,0.8129032258064516,0
1,1,SRC,40,0.9461931801939014,0.9021879021879022,0
2,0,ALL_81,81,0.6510751966165924,0.736284289276808,1
2,0,OACI,40,0.4967859997022724,0.6727037516170763,0
2,0,SRC,40,0.7287571038271881,0.7697283311772316,0
2,1,ALL_81,81,0.7902460784928367,0.8024231127679403,1
2,1,OACI,40,0.49723186856797275,0.6795865633074936,0
2,1,SRC,40,0.824732609754467,0.8273195876288659,0
3,0,ALL_81,81,0.8805730776793265,0.8607990012484394,1
3,0,OACI,40,0.7414238188827574,0.788036410923277,0
3,0,SRC,40,0.9512412606091405,0.912987012987013,0
3,1,ALL_81,81,0.9511405985319031,0.9174169512573734,1
3,1,OACI,40,0.8436018966633493,0.8625162127107653,0
3,1,SRC,40,0.9345408567095067,0.8963730569948186,0
5,0,ALL_81,81,0.8510049376166787,0.8385579937304075,1
5,0,OACI,40,0.654726043195193,0.7617135207496654,0
5,0,SRC,40,0.8089339374959398,0.8160621761658031,0
5,1,ALL_81,81,0.7229158558523873,0.7693026151930261,1
5,1,OACI,40,0.6951585785746128,0.7693298969072165,0
5,1,SRC,40,0.511780719046278,0.6796875,0
6,0,ALL_81,81,0.823309185106202,0.8177293934681182,1
6,0,OACI,40,0.5892840412543628,0.7144702842377261,0
6,0,SRC,40,0.6300869180597796,0.7334200260078023,0
6,1,ALL_81,81,0.7542760021753548,0.7848258706467661,1
6,1,OACI,40,0.503941071596134,0.6795865633074936,0
6,1,SRC,40,0.8009009440566274,0.8018134715025906,0
7,0,ALL_81,81,0.7918068888139014,0.8021739130434783,1
7,0,OACI,40,0.840362160594817,0.8223938223938224,0
7,0,SRC,40,0.7103312376841512,0.7558139534883721,0
7,1,ALL_81,81,0.7513975313582629,0.7818520820385333,1
7,1,OACI,40,0.7770739626358123,0.7940414507772021,0
7,1,SRC,40,0.6751900278420724,0.7571059431524548,0
8,0,ALL_81,81,0.8808949677967874,0.8542446941323346,1
8,0,OACI,40,0.8555675482179802,0.8417639429312581,0
8,0,SRC,40,0.897325199436884,0.8831168831168831,0
8,1,ALL_81,81,0.8727554039708173,0.8534536403235843,1
8,1,OACI,40,0.8593346868783769,0.8501291989664083,0
8,1,SRC,40,0.8841660811982391,0.8541935483870968,0
9,0,ALL_81,81,0.8969018032630939,0.8666253101736973,1
9,0,OACI,40,0.9172530256121587,0.884318766066838,0
9,0,SRC,40,0.7650039961305025,0.8015564202334631,0
9,1,ALL_81,81,0.8318953349985826,0.8226708074534161,1
9,1,OACI,40,0.8610498672513167,0.8468468468468469,0
9,1,SRC,40,0.9143286143284254,0.8837209302325582,0
