null,path,kernel,bandwidth_factor,statistic,observed,null_mean,null_p95,uncorrected_p,global_family_max_stat_p,bandwidth_selected_inside_null,null_replicates
target_block_permutation,strict_source,rbf,0.5,normalized_alignment,0.04693166821796121,0.03492989894033531,0.0421054718824771,0.002,1.0,1,499
target_block_permutation,strict_source,rbf,0.5,centered_hsic,0.09123374740923965,0.07601076108242588,0.08492328653598026,0.006,1.0,1,499
target_block_permutation,strict_source,rbf,1.0,normalized_alignment,0.014670635424378591,0.008742073903063828,0.013644904761576952,0.014,1.0,1,499
target_block_permutation,strict_source,rbf,1.0,centered_hsic,0.08060429077956287,0.06424423185867031,0.07607107584947796,0.012,1.0,1,499
target_block_permutation,strict_source,rbf,2.0,normalized_alignment,-0.0004156570389743006,-0.0021591001371091567,-0.0006417844823713963,0.024,1.0,1,499
target_block_permutation,strict_source,rbf,2.0,centered_hsic,0.0737237181077636,0.05851503173248412,0.07072798958409678,0.024,1.0,1,499
target_block_permutation,strict_source,laplacian,0.5,normalized_alignment,0.04271326394754943,0.03245579700401234,0.03928184886319619,0.008,1.0,1,499
target_block_permutation,strict_source,laplacian,0.5,centered_hsic,0.10104140624594417,0.0872200136596209,0.09637563958568651,0.01,1.0,1,499
target_block_permutation,strict_source,laplacian,1.0,normalized_alignment,0.020718922421769963,0.014360020237444338,0.018943978598191868,0.01,1.0,1,499
target_block_permutation,strict_source,laplacian,1.0,centered_hsic,0.09604110431895059,0.08019326434028563,0.08995302400796916,0.008,1.0,1,499
target_block_permutation,strict_source,laplacian,2.0,normalized_alignment,0.007113441667331411,0.0037966508122034104,0.006264301660884003,0.012,1.0,1,499
target_block_permutation,strict_source,laplacian,2.0,centered_hsic,0.09197544913899185,0.07558827947484137,0.08636437861577845,0.006,1.0,1,499
target_block_permutation,target_unlabeled,rbf,0.5,normalized_alignment,0.12063174862626881,0.07957880528213845,0.09467189970697273,0.002,0.996,1,499
target_block_permutation,target_unlabeled,rbf,0.5,centered_hsic,0.18963302285310654,0.13858890580989017,0.1589057916590184,0.002,0.004,1,499
target_block_permutation,target_unlabeled,rbf,1.0,normalized_alignment,0.06506229370828186,0.030319553966244132,0.04432946110221119,0.002,1.0,1,499
target_block_permutation,target_unlabeled,rbf,1.0,centered_hsic,0.21966670712007577,0.13369722395674105,0.16415693518854813,0.002,0.002,1,499
target_block_permutation,target_unlabeled,rbf,2.0,normalized_alignment,0.016253700270666572,0.0040137709066793495,0.009310244303064628,0.002,1.0,1,499
target_block_permutation,target_unlabeled,rbf,2.0,centered_hsic,0.22098968389774226,0.12559037791727876,0.15922205172435308,0.002,0.002,1,499
target_block_permutation,target_unlabeled,laplacian,0.5,normalized_alignment,0.10860684708689564,0.07213323662600082,0.08588834681330934,0.002,1.0,1,499
target_block_permutation,target_unlabeled,laplacian,0.5,centered_hsic,0.19138862453167493,0.14434349612828531,0.1633992457027618,0.002,0.004,1,499
target_block_permutation,target_unlabeled,laplacian,1.0,normalized_alignment,0.06920151121318566,0.039274639028962596,0.050675131245114136,0.002,1.0,1,499
target_block_permutation,target_unlabeled,laplacian,1.0,centered_hsic,0.2112207359796281,0.14476479371929768,0.16701656869441842,0.002,0.002,1,499
target_block_permutation,target_unlabeled,laplacian,2.0,normalized_alignment,0.03477167520950593,0.016895381629398454,0.023977902838709493,0.002,1.0,1,499
target_block_permutation,target_unlabeled,laplacian,2.0,centered_hsic,0.21942040288529233,0.1427225061369122,0.1698052129945981,0.002,0.002,1,499
checkpoint_block_permutation,strict_source,rbf,0.5,normalized_alignment,0.04693166821796121,0.015985876661483316,0.019901326772801296,0.002,1.0,1,499
checkpoint_block_permutation,strict_source,rbf,0.5,centered_hsic,0.09123374740923965,0.04686383781595353,0.05241923695523855,0.002,1.0,1,499
checkpoint_block_permutation,strict_source,rbf,1.0,normalized_alignment,0.014670635424378591,0.006606542693442069,0.008783216727715325,0.002,1.0,1,499
checkpoint_block_permutation,strict_source,rbf,1.0,centered_hsic,0.08060429077956287,0.050272186457006485,0.05702445807304072,0.002,1.0,1,499
